experiment,config,param_value,rep,metric,value
cluster,row_speculative,default,1,snapshot_count,10
cluster,row_speculative,default,1,snapshot_committed,10
cluster,row_speculative,default,1,snapshot_skipped,0
cluster,row_speculative,default,1,snapshot_success_rate,1.0
cluster,row_speculative,default,1,avg_retry_rate,2.3
cluster,row_speculative,default,1,avg_latency_ms,630.4546502418816
cluster,row_speculative,default,1,p50_latency_ms,635.1607083342969
cluster,row_speculative,default,1,p99_latency_ms,1100.1923750154674
cluster,row_speculative,default,1,max_latency_ms,1100.1923750154674
cluster,row_speculative,default,1,avg_throughput_writes_sec,0.0
cluster,row_speculative,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_speculative,default,1,avg_delta_blocks_at_discard,7.130434782608695
cluster,row_speculative,default,1,max_delta_blocks_at_discard,23
cluster,row_speculative,default,1,causal_consistency_rate,1.0
cluster,row_speculative,default,1,causal_checked_count,10.0
cluster,row_speculative,default,1,avg_causal_violation_count,0.0
cluster,row_speculative,default,1,conservation_validity_rate,0.0
cluster,row_speculative,default,1,conservation_checked_count,10.0
cluster,row_speculative,default,1,recovery_rate,1.0
cluster,row_speculative,default,1,recovery_checked_count,10.0
cluster,row_speculative,default,1,recovery_conservation_rate,0.0
cluster,row_speculative,default,1,avg_convergence_ms,84.33480430394411
cluster,row_speculative,default,1,avg_balance_sum,101649.0
cluster,row_speculative,default,1,avg_in_transit,2058.0
cluster,row_speculative,default,1,avg_messages_per_snapshot,39.6
cluster,row_speculative,default,1,total_control_messages,396
