experiment,config,param_value,rep,metric,value
cluster,row_two_phase,default,1,snapshot_count,13
cluster,row_two_phase,default,1,snapshot_committed,3
cluster,row_two_phase,default,1,snapshot_skipped,0
cluster,row_two_phase,default,1,snapshot_success_rate,0.23076923076923078
cluster,row_two_phase,default,1,avg_retry_rate,0.0
cluster,row_two_phase,default,1,avg_latency_ms,164.54554474554382
cluster,row_two_phase,default,1,p50_latency_ms,150.02062497660518
cluster,row_two_phase,default,1,p99_latency_ms,367.786583956331
cluster,row_two_phase,default,1,max_latency_ms,367.786583956331
cluster,row_two_phase,default,1,avg_throughput_writes_sec,0.0
cluster,row_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_two_phase,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,max_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,causal_consistency_rate,0.23076923076923078
cluster,row_two_phase,default,1,causal_checked_count,13.0
cluster,row_two_phase,default,1,avg_causal_violation_count,1.4615384615384615
cluster,row_two_phase,default,1,conservation_validity_rate,0.0
cluster,row_two_phase,default,1,conservation_checked_count,3.0
cluster,row_two_phase,default,1,recovery_rate,1.0
cluster,row_two_phase,default,1,recovery_checked_count,3.0
cluster,row_two_phase,default,1,recovery_conservation_rate,0.0
cluster,row_two_phase,default,1,avg_convergence_ms,76.13320819412668
cluster,row_two_phase,default,1,avg_balance_sum,86726.0
cluster,row_two_phase,default,1,avg_in_transit,1364.0
cluster,row_two_phase,default,1,avg_messages_per_snapshot,12.0
cluster,row_two_phase,default,1,total_control_messages,36
