experiment,config,param_value,rep,metric,value
exp1_frequency,row_twophase,1,1,snapshot_count,5
exp1_frequency,row_twophase,1,1,snapshot_committed,3
exp1_frequency,row_twophase,1,1,snapshot_success_rate,0.6
exp1_frequency,row_twophase,1,1,avg_retry_rate,0.0
exp1_frequency,row_twophase,1,1,avg_latency_ms,2.2795836441218853
exp1_frequency,row_twophase,1,1,p50_latency_ms,2.411667024716735
exp1_frequency,row_twophase,1,1,p99_latency_ms,3.001375123858452
exp1_frequency,row_twophase,1,1,max_latency_ms,3.001375123858452
exp1_frequency,row_twophase,1,1,avg_throughput_writes_sec,889.4
exp1_frequency,row_twophase,1,1,avg_coordinator_cpu_pct,12.84
exp1_frequency,row_twophase,1,1,avg_delta_blocks_at_discard,0.0
exp1_frequency,row_twophase,1,1,max_delta_blocks_at_discard,0.0
