experiment,config,param_value,rep,metric,value
exp3_ratio,mysql_two_phase,default,1,snapshot_count,13
exp3_ratio,mysql_two_phase,default,1,snapshot_committed,2
exp3_ratio,mysql_two_phase,default,1,snapshot_skipped,0
exp3_ratio,mysql_two_phase,default,1,snapshot_success_rate,0.15384615384615385
exp3_ratio,mysql_two_phase,default,1,avg_retry_rate,0.0
exp3_ratio,mysql_two_phase,default,1,avg_latency_ms,91.94458007693986
exp3_ratio,mysql_two_phase,default,1,p50_latency_ms,9.233457999926031
exp3_ratio,mysql_two_phase,default,1,p99_latency_ms,558.3401260000755
exp3_ratio,mysql_two_phase,default,1,max_latency_ms,558.3401260000755
exp3_ratio,mysql_two_phase,default,1,avg_throughput_writes_sec,161.25
exp3_ratio,mysql_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
exp3_ratio,mysql_two_phase,default,1,avg_delta_blocks_at_discard,0.0
exp3_ratio,mysql_two_phase,default,1,max_delta_blocks_at_discard,0.0
exp3_ratio,mysql_two_phase,default,1,causal_consistency_rate,0.15384615384615385
exp3_ratio,mysql_two_phase,default,1,causal_checked_count,13.0
exp3_ratio,mysql_two_phase,default,1,avg_causal_violation_count,0.8461538461538461
exp3_ratio,mysql_two_phase,default,1,conservation_validity_rate,1.0
exp3_ratio,mysql_two_phase,default,1,conservation_checked_count,2.0
exp3_ratio,mysql_two_phase,default,1,recovery_rate,1.0
exp3_ratio,mysql_two_phase,default,1,recovery_checked_count,2.0
exp3_ratio,mysql_two_phase,default,1,recovery_conservation_rate,1.0
