experiment,config,param_value,rep,metric,value
exp1_freq,mysql_two_phase,default,1,snapshot_count,6
exp1_freq,mysql_two_phase,default,1,snapshot_committed,5
exp1_freq,mysql_two_phase,default,1,snapshot_skipped,0
exp1_freq,mysql_two_phase,default,1,snapshot_success_rate,0.8333333333333334
exp1_freq,mysql_two_phase,default,1,avg_retry_rate,0.0
exp1_freq,mysql_two_phase,default,1,avg_latency_ms,413.17805583330863
exp1_freq,mysql_two_phase,default,1,p50_latency_ms,496.4636669999436
exp1_freq,mysql_two_phase,default,1,p99_latency_ms,540.4058329999089
exp1_freq,mysql_two_phase,default,1,max_latency_ms,540.4058329999089
exp1_freq,mysql_two_phase,default,1,avg_throughput_writes_sec,150.7
exp1_freq,mysql_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
exp1_freq,mysql_two_phase,default,1,avg_delta_blocks_at_discard,0.0
exp1_freq,mysql_two_phase,default,1,max_delta_blocks_at_discard,0.0
exp1_freq,mysql_two_phase,default,1,causal_consistency_rate,0.8333333333333334
exp1_freq,mysql_two_phase,default,1,causal_checked_count,6.0
exp1_freq,mysql_two_phase,default,1,avg_causal_violation_count,0.16666666666666666
exp1_freq,mysql_two_phase,default,1,conservation_validity_rate,1.0
exp1_freq,mysql_two_phase,default,1,conservation_checked_count,5.0
exp1_freq,mysql_two_phase,default,1,recovery_rate,1.0
exp1_freq,mysql_two_phase,default,1,recovery_checked_count,5.0
exp1_freq,mysql_two_phase,default,1,recovery_conservation_rate,1.0
