experiment,config,param_value,rep,metric,value
exp3_ratio,mysql_two_phase,default,1,snapshot_count,10
exp3_ratio,mysql_two_phase,default,1,snapshot_committed,8
exp3_ratio,mysql_two_phase,default,1,snapshot_skipped,0
exp3_ratio,mysql_two_phase,default,1,snapshot_success_rate,0.8
exp3_ratio,mysql_two_phase,default,1,avg_retry_rate,0.0
exp3_ratio,mysql_two_phase,default,1,avg_latency_ms,512.4213960999896
exp3_ratio,mysql_two_phase,default,1,p50_latency_ms,621.9565839999177
exp3_ratio,mysql_two_phase,default,1,p99_latency_ms,801.248792000024
exp3_ratio,mysql_two_phase,default,1,max_latency_ms,801.248792000024
exp3_ratio,mysql_two_phase,default,1,avg_throughput_writes_sec,130.05
exp3_ratio,mysql_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
exp3_ratio,mysql_two_phase,default,1,avg_delta_blocks_at_discard,0.0
exp3_ratio,mysql_two_phase,default,1,max_delta_blocks_at_discard,0.0
exp3_ratio,mysql_two_phase,default,1,causal_consistency_rate,0.8
exp3_ratio,mysql_two_phase,default,1,causal_checked_count,10.0
exp3_ratio,mysql_two_phase,default,1,avg_causal_violation_count,0.2
exp3_ratio,mysql_two_phase,default,1,conservation_validity_rate,1.0
exp3_ratio,mysql_two_phase,default,1,conservation_checked_count,8.0
exp3_ratio,mysql_two_phase,default,1,recovery_rate,1.0
exp3_ratio,mysql_two_phase,default,1,recovery_checked_count,8.0
exp3_ratio,mysql_two_phase,default,1,recovery_conservation_rate,1.0
