experiment,config,param_value,rep,metric,value
exp4_rate,mysql_pause_and_snap,default,1,snapshot_count,10
exp4_rate,mysql_pause_and_snap,default,1,snapshot_committed,10
exp4_rate,mysql_pause_and_snap,default,1,snapshot_skipped,0
exp4_rate,mysql_pause_and_snap,default,1,snapshot_success_rate,1.0
exp4_rate,mysql_pause_and_snap,default,1,avg_retry_rate,0.0
exp4_rate,mysql_pause_and_snap,default,1,avg_latency_ms,614.2108667999764
exp4_rate,mysql_pause_and_snap,default,1,p50_latency_ms,617.5940000000537
exp4_rate,mysql_pause_and_snap,default,1,p99_latency_ms,661.3913759999832
exp4_rate,mysql_pause_and_snap,default,1,max_latency_ms,661.3913759999832
exp4_rate,mysql_pause_and_snap,default,1,avg_throughput_writes_sec,60.80952380952381
exp4_rate,mysql_pause_and_snap,default,1,avg_coordinator_cpu_pct,-1.0
exp4_rate,mysql_pause_and_snap,default,1,avg_delta_blocks_at_discard,0.0
exp4_rate,mysql_pause_and_snap,default,1,max_delta_blocks_at_discard,0.0
exp4_rate,mysql_pause_and_snap,default,1,causal_consistency_rate,1.0
exp4_rate,mysql_pause_and_snap,default,1,causal_checked_count,10.0
exp4_rate,mysql_pause_and_snap,default,1,avg_causal_violation_count,0.0
exp4_rate,mysql_pause_and_snap,default,1,conservation_validity_rate,1.0
exp4_rate,mysql_pause_and_snap,default,1,conservation_checked_count,10.0
exp4_rate,mysql_pause_and_snap,default,1,recovery_rate,1.0
exp4_rate,mysql_pause_and_snap,default,1,recovery_checked_count,10.0
exp4_rate,mysql_pause_and_snap,default,1,recovery_conservation_rate,1.0
