experiment,config,param_value,rep,metric,value
cluster,row_speculative,default,1,snapshot_count,29
cluster,row_speculative,default,1,snapshot_committed,29
cluster,row_speculative,default,1,snapshot_skipped,0
cluster,row_speculative,default,1,snapshot_success_rate,1.0
cluster,row_speculative,default,1,avg_retry_rate,0.13793103448275862
cluster,row_speculative,default,1,avg_latency_ms,8.682906483139458
cluster,row_speculative,default,1,p50_latency_ms,8.112166076898575
cluster,row_speculative,default,1,p99_latency_ms,16.098167281597853
cluster,row_speculative,default,1,max_latency_ms,16.098167281597853
cluster,row_speculative,default,1,avg_throughput_writes_sec,0.0
cluster,row_speculative,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_speculative,default,1,avg_delta_blocks_at_discard,1.0
cluster,row_speculative,default,1,max_delta_blocks_at_discard,2
cluster,row_speculative,default,1,causal_consistency_rate,1.0
cluster,row_speculative,default,1,causal_checked_count,29.0
cluster,row_speculative,default,1,avg_causal_violation_count,0.0
cluster,row_speculative,default,1,conservation_validity_rate,1.0
cluster,row_speculative,default,1,conservation_checked_count,29.0
cluster,row_speculative,default,1,recovery_rate,1.0
cluster,row_speculative,default,1,recovery_checked_count,29.0
cluster,row_speculative,default,1,recovery_conservation_rate,0.9655172413793104
cluster,row_speculative,default,1,avg_convergence_ms,2.1927946664649864
cluster,row_speculative,default,1,avg_balance_sum,99999.96551724138
cluster,row_speculative,default,1,avg_in_transit,0.034482758620689655
cluster,row_speculative,default,1,avg_messages_per_snapshot,13.655172413793103
cluster,row_speculative,default,1,total_control_messages,396
