experiment,config,param_value,rep,metric,value
cluster,row_two_phase,default,1,snapshot_count,29
cluster,row_two_phase,default,1,snapshot_committed,24
cluster,row_two_phase,default,1,snapshot_skipped,0
cluster,row_two_phase,default,1,snapshot_success_rate,0.8275862068965517
cluster,row_two_phase,default,1,avg_retry_rate,0.0
cluster,row_two_phase,default,1,avg_latency_ms,6.421837650624843
cluster,row_two_phase,default,1,p50_latency_ms,6.763834040611982
cluster,row_two_phase,default,1,p99_latency_ms,9.782416746020317
cluster,row_two_phase,default,1,max_latency_ms,9.782416746020317
cluster,row_two_phase,default,1,avg_throughput_writes_sec,0.0
cluster,row_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_two_phase,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,max_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,causal_consistency_rate,0.8275862068965517
cluster,row_two_phase,default,1,causal_checked_count,29.0
cluster,row_two_phase,default,1,avg_causal_violation_count,0.1724137931034483
cluster,row_two_phase,default,1,conservation_validity_rate,1.0
cluster,row_two_phase,default,1,conservation_checked_count,24.0
cluster,row_two_phase,default,1,recovery_rate,1.0
cluster,row_two_phase,default,1,recovery_checked_count,24.0
cluster,row_two_phase,default,1,recovery_conservation_rate,0.9583333333333334
cluster,row_two_phase,default,1,avg_convergence_ms,1.9083713996224105
cluster,row_two_phase,default,1,avg_balance_sum,99999.95833333333
cluster,row_two_phase,default,1,avg_in_transit,0.041666666666666664
cluster,row_two_phase,default,1,avg_messages_per_snapshot,12.0
cluster,row_two_phase,default,1,total_control_messages,288
