backend,total_blocks,image_size_kb,rep,metric,value
row,64,256,1,snapshot_create_us,94.87499482929707
row,64,256,1,write_during_snap_total_us,78.66695523262024
row,64,256,1,write_during_snap_per_block_us,13.111159205436707
row,64,256,1,num_writes,6
row,64,256,1,delta_block_count,6
row,64,256,1,discard_us,92.25006215274334
row,64,256,1,commit_us,361.1249849200249
row,64,256,2,snapshot_create_us,115.12497439980507
row,64,256,2,write_during_snap_total_us,84.66700091958046
row,64,256,2,write_during_snap_per_block_us,14.111166819930077
row,64,256,2,num_writes,6
row,64,256,2,delta_block_count,6
row,64,256,2,discard_us,112.95918375253677
row,64,256,2,commit_us,311.3748971372843
row,64,256,3,snapshot_create_us,109.50001887977123
row,64,256,3,write_during_snap_total_us,90.95808491110802
row,64,256,3,write_during_snap_per_block_us,15.159680818518003
row,64,256,3,num_writes,6
row,64,256,3,delta_block_count,6
row,64,256,3,discard_us,101.58400982618332
row,64,256,3,commit_us,304.332934319973
row,64,256,4,snapshot_create_us,74.70790296792984
row,64,256,4,write_during_snap_total_us,76.95797830820084
row,64,256,4,write_during_snap_per_block_us,12.826329718033472
row,64,256,4,num_writes,6
row,64,256,4,delta_block_count,6
row,64,256,4,discard_us,69.58283483982086
row,64,256,4,commit_us,292.5409935414791
row,64,256,5,snapshot_create_us,114.54103514552116
row,64,256,5,write_during_snap_total_us,63.33296187222004
row,64,256,5,write_during_snap_per_block_us,10.555493645370007
row,64,256,5,num_writes,6
row,64,256,5,delta_block_count,6
row,64,256,5,discard_us,89.332927018404
row,64,256,5,commit_us,336.1250273883343
row,64,256,6,snapshot_create_us,83.79202336072922
row,64,256,6,write_during_snap_total_us,79.79199290275574
row,64,256,6,write_during_snap_per_block_us,13.298665483792623
row,64,256,6,num_writes,6
row,64,256,6,delta_block_count,6
row,64,256,6,discard_us,82.37501606345177
row,64,256,6,commit_us,3039.7919472306967
row,64,256,7,snapshot_create_us,70.75001485645771
row,64,256,7,write_during_snap_total_us,75.95820352435112
row,64,256,7,write_during_snap_per_block_us,12.659700587391853
row,64,256,7,num_writes,6
row,64,256,7,delta_block_count,6
row,64,256,7,discard_us,67.9579097777605
row,64,256,7,commit_us,322.62480817735195
row,64,256,8,snapshot_create_us,84.9999487400055
row,64,256,8,write_during_snap_total_us,68.79190914332867
row,64,256,8,write_during_snap_per_block_us,11.465318190554777
row,64,256,8,num_writes,6
row,64,256,8,delta_block_count,6
row,64,256,8,discard_us,67.54091009497643
row,64,256,8,commit_us,307.83400870859623
row,64,256,9,snapshot_create_us,90.70779196918011
row,64,256,9,write_during_snap_total_us,69.58399899303913
row,64,256,9,write_during_snap_per_block_us,11.597333165506521
row,64,256,9,num_writes,6
row,64,256,9,delta_block_count,6
row,64,256,9,discard_us,67.16698408126831
row,64,256,9,commit_us,312.6668743789196
row,64,256,10,snapshot_create_us,81.12494833767414
row,64,256,10,write_during_snap_total_us,68.25011223554611
row,64,256,10,write_during_snap_per_block_us,11.375018705924353
row,64,256,10,num_writes,6
row,64,256,10,delta_block_count,6
row,64,256,10,discard_us,67.33299233019352
row,64,256,10,commit_us,309.8337911069393
row,256,1024,1,snapshot_create_us,93.83284486830235
row,256,1024,1,write_during_snap_total_us,314.54209238290787
row,256,1024,1,write_during_snap_per_block_us,12.581683695316315
row,256,1024,1,num_writes,25
row,256,1024,1,delta_block_count,25
row,256,1024,1,discard_us,115.58295227587223
row,256,1024,1,commit_us,1304.958015680313
row,256,1024,2,snapshot_create_us,116.74989946186543
row,256,1024,2,write_during_snap_total_us,347.4999684840441
row,256,1024,2,write_during_snap_per_block_us,13.899998739361763
row,256,1024,2,num_writes,25
row,256,1024,2,delta_block_count,25
row,256,1024,2,discard_us,146.6250978410244
row,256,1024,2,commit_us,857.2500664740801
row,256,1024,3,snapshot_create_us,411.7500502616167
row,256,1024,3,write_during_snap_total_us,364.0840295702219
row,256,1024,3,write_during_snap_per_block_us,14.563361182808876
row,256,1024,3,num_writes,25
row,256,1024,3,delta_block_count,25
row,256,1024,3,discard_us,143.9168117940426
row,256,1024,3,commit_us,844.1670797765255
row,256,1024,4,snapshot_create_us,98.04219007492065
row,256,1024,4,write_during_snap_total_us,311.04194931685925
row,256,1024,4,write_during_snap_per_block_us,12.44167797267437
row,256,1024,4,num_writes,25
row,256,1024,4,delta_block_count,25
row,256,1024,4,discard_us,109.54099707305431
row,256,1024,4,commit_us,2005.833899602294
row,256,1024,5,snapshot_create_us,101.58400982618332
row,256,1024,5,write_during_snap_total_us,312.6249648630619
row,256,1024,5,write_during_snap_per_block_us,12.504998594522476
row,256,1024,5,num_writes,25
row,256,1024,5,delta_block_count,25
