experiment,config,param_value,rep,metric,value
mysql_distributed,mysql_speculative,default,1,snapshot_count,8
mysql_distributed,mysql_speculative,default,1,snapshot_committed,8
mysql_distributed,mysql_speculative,default,1,snapshot_skipped,0
mysql_distributed,mysql_speculative,default,1,snapshot_success_rate,1.0
mysql_distributed,mysql_speculative,default,1,avg_retry_rate,0.0
mysql_distributed,mysql_speculative,default,1,avg_latency_ms,505.1401408750031
mysql_distributed,mysql_speculative,default,1,p50_latency_ms,518.4684999999831
mysql_distributed,mysql_speculative,default,1,p99_latency_ms,530.4744580000147
mysql_distributed,mysql_speculative,default,1,max_latency_ms,530.4744580000147
mysql_distributed,mysql_speculative,default,1,avg_throughput_writes_sec,170.6875
mysql_distributed,mysql_speculative,default,1,avg_coordinator_cpu_pct,-1.0
mysql_distributed,mysql_speculative,default,1,avg_delta_blocks_at_discard,0.0
mysql_distributed,mysql_speculative,default,1,max_delta_blocks_at_discard,0.0
mysql_distributed,mysql_speculative,default,1,causal_consistency_rate,1.0
mysql_distributed,mysql_speculative,default,1,causal_checked_count,8.0
mysql_distributed,mysql_speculative,default,1,avg_causal_violation_count,0.0
mysql_distributed,mysql_speculative,default,1,conservation_validity_rate,1.0
mysql_distributed,mysql_speculative,default,1,conservation_checked_count,8.0
mysql_distributed,mysql_speculative,default,1,recovery_rate,1.0
mysql_distributed,mysql_speculative,default,1,recovery_checked_count,8.0
mysql_distributed,mysql_speculative,default,1,recovery_conservation_rate,1.0
