experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_baseline,default,1,2754930.692774958,180.79089275676353,-1.0,219,3,3,0,0.0,218,2405.709751244558,247.8038752451539,161,30,27,0
cluster,row_baseline,default,1,2754931.871493166,184.2545966057916,-1.0,429,3,2,0,0.0,428,4641.95999854428,247.8038752451539,313,58,56,0
cluster,row_baseline,default,1,2754933.093594166,157.8691846582376,-1.0,616,3,2,0,0.0,614,6810.891962569258,255.59912528842688,442,87,85,0
cluster,row_baseline,default,1,2754934.267120708,148.01249278780722,-1.0,797,3,3,0,0.0,795,9227.625662118044,255.59912528842688,556,121,118,0
cluster,row_baseline,default,1,2754935.426849041,166.2650488658531,-1.0,990,3,2,0,0.0,990,11538.369951263121,255.59912528842688,682,155,153,0
cluster,row_baseline,default,1,2754936.584620416,167.20105648482505,-1.0,1184,3,1,0,0.0,1184,13874.494665506973,255.59912528842688,812,186,185,0
cluster,row_baseline,default,1,2754937.787684458,151.96012925680026,-1.0,1360,3,3,0,0.0,1360,16212.335540905315,255.59912528842688,914,224,221,0
cluster,row_baseline,default,1,2754938.9320305,163.84039663801605,-1.0,1557,3,2,0,0.0,1557,18537.28100381386,255.59912528842688,1046,256,254,0
cluster,row_baseline,default,1,2754940.082719416,186.17663272745966,-1.0,1770,3,1,0,0.0,1770,20596.555554046972,255.59912528842688,1200,285,284,0
cluster,row_baseline,default,1,2754941.244629583,171.22514995878913,-1.0,1968,3,2,0,0.0,1967,22789.38380324871,255.59912528842688,1334,318,316,0
cluster,row_baseline,default,1,2754942.402332375,171.96841716992373,-1.0,2168,3,2,0,0.0,2167,24892.57834560067,255.59912528842688,1470,349,347,0
cluster,row_baseline,default,1,2754943.568354041,158.07725648533162,-1.0,2350,3,3,0,0.0,2350,27072.461690042473,255.59912528842688,1594,379,376,0
cluster,row_baseline,default,1,2754944.734000291,137.29983984634936,-1.0,2510,3,2,0,0.0,2510,29630.96590510031,255.59912528842688,1690,411,409,0
cluster,row_baseline,default,1,2754945.871915208,148.32519528508547,-1.0,2683,3,2,0,0.0,2683,32065.860402010458,255.59912528842688,1791,447,445,0
cluster,row_baseline,default,1,2754947.043829833,209.30136441822134,-1.0,2924,3,3,0,0.0,2921,33963.448272380905,255.59912528842688,1974,475,472,0
cluster,row_baseline,default,1,2754948.344238375,179.93079492906529,-1.0,3133,3,3,0,0.0,3132,36246.27918893065,255.59912528842688,2127,504,501,0
cluster,row_baseline,default,1,2754949.501613708,160.8220494356313,-1.0,3342,3,1,0,0.0,3341,39029.81060245929,255.59912528842688,2266,538,537,0
cluster,row_baseline,default,1,2754950.669129541,182.2781573056298,-1.0,3556,3,1,0,0.0,3552,41074.0858776785,255.59912528842688,2413,570,569,0
cluster,row_baseline,default,1,2754951.811851625,156.67862993926482,-1.0,3737,3,3,0,0.0,3735,43268.78150595985,255.59912528842688,2526,606,603,0
cluster,row_baseline,default,1,2754952.980299,173.3054027091386,-1.0,3934,3,2,0,0.0,3933,45591.13517184823,255.59912528842688,2663,636,634,0
cluster,row_baseline,default,1,2754954.140363416,129.3068798467954,-1.0,4086,3,1,0,0.0,4084,47968.911000880325,255.59912528842688,2755,665,664,0
cluster,row_baseline,default,1,2754955.327304583,194.62116461064065,-1.0,4311,3,3,0,0.0,4310,50088.16262660775,255.59912528842688,2920,696,693,0
cluster,row_baseline,default,1,2754956.47849725,117.11277003052393,-1.0,4450,3,2,0,0.0,4449,52717.06916680432,369.7410002350807,3006,722,720,0
cluster,row_baseline,default,1,2754957.688544708,166.76720471495798,-1.0,4643,3,3,0,0.0,4641,54936.181699393725,369.7410002350807,3135,755,752,0
cluster,row_baseline,default,1,2754958.834389708,180.13541552212587,-1.0,4860,3,2,0,0.0,4859,57198.39027964554,369.7410002350807,3294,783,781,0
