experiment,config,param_value,rep,metric,value
cluster,row_pause_and_snap,default,1,snapshot_count,13
cluster,row_pause_and_snap,default,1,snapshot_committed,13
cluster,row_pause_and_snap,default,1,snapshot_skipped,0
cluster,row_pause_and_snap,default,1,snapshot_success_rate,1.0
cluster,row_pause_and_snap,default,1,avg_retry_rate,0.0
cluster,row_pause_and_snap,default,1,avg_latency_ms,745.4419680512868
cluster,row_pause_and_snap,default,1,p50_latency_ms,747.3599170334637
cluster,row_pause_and_snap,default,1,p99_latency_ms,919.8619578965008
cluster,row_pause_and_snap,default,1,max_latency_ms,919.8619578965008
cluster,row_pause_and_snap,default,1,avg_throughput_writes_sec,185.39288317411027
cluster,row_pause_and_snap,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_pause_and_snap,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_pause_and_snap,default,1,max_delta_blocks_at_discard,0.0
cluster,row_pause_and_snap,default,1,causal_consistency_rate,1.0
cluster,row_pause_and_snap,default,1,causal_checked_count,13.0
cluster,row_pause_and_snap,default,1,avg_causal_violation_count,0.0
cluster,row_pause_and_snap,default,1,conservation_validity_rate,1.0
cluster,row_pause_and_snap,default,1,conservation_checked_count,13.0
cluster,row_pause_and_snap,default,1,recovery_rate,1.0
cluster,row_pause_and_snap,default,1,recovery_checked_count,13.0
cluster,row_pause_and_snap,default,1,recovery_conservation_rate,1.0
cluster,row_pause_and_snap,default,1,avg_convergence_ms,104.237458238808
cluster,row_pause_and_snap,default,1,avg_balance_sum,100000.0
cluster,row_pause_and_snap,default,1,avg_in_transit,0.0
cluster,row_pause_and_snap,default,1,avg_messages_per_snapshot,39.0
cluster,row_pause_and_snap,default,1,total_control_messages,507
cluster,row_pause_and_snap,default,1,avg_control_bytes_per_snapshot,7887.2307692307695
cluster,row_pause_and_snap,default,1,total_control_bytes,102534
cluster,row_pause_and_snap,default,1,avg_drain_ms,116.11827566789893
cluster,row_pause_and_snap,default,1,avg_finalize_ms,0.0
cluster,row_pause_and_snap,default,1,avg_validation_ms,0.04112172441986891
cluster,row_pause_and_snap,default,1,avg_commit_ms,103.57732999210174
cluster,row_pause_and_snap,default,1,avg_recovery_ms,132.02722445846751
cluster,row_pause_and_snap,default,1,avg_write_log_entries,0.0
cluster,row_pause_and_snap,default,1,avg_write_log_bytes,2.0
cluster,row_pause_and_snap,default,1,avg_dependency_tags_checked,0.0
cluster,row_pause_and_snap,default,1,max_pending_transfers,3
cluster,row_pause_and_snap,default,1,max_write_latency_ms,457.4646670371294
cluster,row_pause_and_snap,default,1,total_paused_retries,1340.0
cluster,row_pause_and_snap,default,1,total_paused_wait_s,6.699999999999924
cluster,row_pause_and_snap,default,1,total_local_writes,4387.0
cluster,row_pause_and_snap,default,1,total_cross_transfers,631.0
cluster,row_pause_and_snap,default,1,total_cross_transfers_completed,630.0
cluster,row_pause_and_snap,default,1,total_pending_retries,0.0
cluster,row_pause_and_snap,default,1,avg_write_latency_ms,9.887416192463535
