experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_pause_and_snap,default,1,2754961.600738916,173.9523080296599,-1.0,249,3,2,0,0.0,249,3369.3340868576342,130.13712503015995,149,51,49,0
cluster,row_pause_and_snap,default,1,2754962.787254125,213.56341085252055,-1.0,500,3,3,116,0.5800000000000002,500,5420.412830616897,405.99999999994907,372,65,62,0
cluster,row_pause_and_snap,default,1,2754963.951122958,161.1061600137654,-1.0,690,3,1,116,0.5800000000000002,689,7791.313409700251,405.99999999994907,492,99,98,0
cluster,row_pause_and_snap,default,1,2754965.11984775,193.3065530434898,-1.0,914,3,2,201,1.0050000000000006,914,9799.828447132768,405.99999999994907,682,117,115,0
cluster,row_pause_and_snap,default,1,2754966.297088875,167.72633644017412,-1.0,1112,3,1,201,1.0050000000000006,1110,12044.510662189623,405.99999999994907,815,148,147,0
cluster,row_pause_and_snap,default,1,2754967.44727675,189.43393310418367,-1.0,1334,3,2,299,1.495000000000001,1333,13986.6065761139,405.99999999994907,1010,162,160,0
cluster,row_pause_and_snap,default,1,2754968.628538416,176.3826013614046,-1.0,1536,3,3,299,1.495000000000001,1536,16276.42148387713,405.99999999994907,1149,194,191,0
cluster,row_pause_and_snap,default,1,2754969.785535166,209.01776246358224,-1.0,1785,3,3,386,1.9300000000000015,1783,18194.354574891804,405.99999999994907,1369,209,206,0
cluster,row_pause_and_snap,default,1,2754970.918250916,181.5188917123918,-1.0,1995,3,3,386,1.9300000000000015,1993,20386.32829544622,405.99999999994907,1516,239,236,0
cluster,row_pause_and_snap,default,1,2754972.084764166,175.63191735684995,-1.0,2193,3,3,472,2.3600000000000017,2192,22467.05130489454,405.99999999994907,1682,256,253,0
cluster,row_pause_and_snap,default,1,2754973.242567833,209.4266974910282,-1.0,2436,3,0,475,2.3750000000000018,2436,24659.648564098916,405.99999999994907,1866,285,285,0
cluster,row_pause_and_snap,default,1,2754974.430259666,213.10928392178113,-1.0,2684,3,1,566,2.8299999999999947,2683,26456.270390527607,405.99999999994907,2086,299,298,0
cluster,row_pause_and_snap,default,1,2754975.584966791,148.29070215655597,-1.0,2859,3,0,584,2.9199999999999937,2859,28928.980974098977,405.99999999994907,2205,327,327,0
cluster,row_pause_and_snap,default,1,2754976.744920833,200.9491164741307,-1.0,3092,3,1,667,3.3349999999999866,3091,31038.674431005802,405.99999999994907,2404,344,343,0
cluster,row_pause_and_snap,default,1,2754977.927474583,144.10313346196807,-1.0,3260,3,0,709,3.5449999999999835,3260,33069.34072470495,405.99999999994907,2522,369,369,0
cluster,row_pause_and_snap,default,1,2754979.089124791,171.82422509081786,-1.0,3464,3,3,765,3.824999999999979,3461,35358.91032675863,405.99999999994907,2695,385,382,0
cluster,row_pause_and_snap,default,1,2754980.309884083,155.79719987639558,-1.0,3642,3,0,834,4.169999999999973,3642,37702.70611345995,405.99999999994907,2824,409,409,0
cluster,row_pause_and_snap,default,1,2754981.4381745,192.4715503133779,-1.0,3878,3,3,926,4.629999999999965,3877,40224.951819339825,457.4646670371294,3019,430,427,0
cluster,row_pause_and_snap,default,1,2754982.586628333,174.64015849314407,-1.0,4074,3,0,947,4.734999999999963,4074,42108.996372109235,457.4646670371294,3156,459,459,0
cluster,row_pause_and_snap,default,1,2754983.727360166,209.7822279822335,-1.0,4316,3,1,1038,5.189999999999955,4315,44286.07020733307,457.4646670371294,3356,480,479,0
cluster,row_pause_and_snap,default,1,2754984.8688345,158.6891341743498,-1.0,4496,3,0,1100,5.499999999999949,4496,46179.497589164836,457.4646670371294,3484,506,506,0
cluster,row_pause_and_snap,default,1,2754986.056456833,221.72187126706075,-1.0,4746,3,2,1145,5.724999999999945,4749,48529.81246348964,457.4646670371294,3685,532,530,0
cluster,row_pause_and_snap,default,1,2754987.206242791,173.37956034200278,-1.0,4955,3,0,1239,6.194999999999935,4955,50867.464918108,457.4646670371294,3849,553,553,0
cluster,row_pause_and_snap,default,1,2754988.352740291,208.61519160142845,-1.0,5195,3,3,1239,6.194999999999935,5195,52741.49982810514,457.4646670371294,4026,586,583,0
cluster,row_pause_and_snap,default,1,2754989.488945583,192.05550766360562,-1.0,5415,3,0,1340,6.699999999999924,5415,54695.15561304706,457.4646670371294,4215,600,600,0
cluster,row_pause_and_snap,default,1,2754990.65137925,203.7195278389647,-1.0,5648,3,1,1340,6.699999999999924,5647,56741.60669377579,457.4646670371294,4387,631,630,0
