experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_speculative,default,1,2755024.9712925,204.90541913664163,-1.0,266,3,0,0,0.0,264,2959.5537969462384,100.46320781111717,156,54,54,0
cluster,row_speculative,default,1,2755026.124938291,235.68065063316558,-1.0,535,3,2,29,0.145,532,4938.447090666614,100.46320781111717,372,81,79,0
cluster,row_speculative,default,1,2755027.284040333,204.7769206361152,-1.0,768,3,0,29,0.145,768,6951.205962966924,100.46320781111717,536,116,116,0
cluster,row_speculative,default,1,2755028.427889,228.41166779564676,-1.0,1036,3,3,56,0.2800000000000001,1033,8514.761542763154,110.00000000012733,756,140,137,0
cluster,row_speculative,default,1,2755029.567536708,247.6328131341993,-1.0,1316,3,0,84,0.42000000000000015,1316,10346.85924869018,110.00000000012733,994,161,161,0
cluster,row_speculative,default,1,2755030.713444916,188.5537704340907,-1.0,1533,3,2,84,0.42000000000000015,1531,12403.471286375407,110.00000000012733,1142,195,193,0
cluster,row_speculative,default,1,2755031.858675041,214.58214319143096,-1.0,1776,3,2,136,0.6800000000000003,1777,14153.185698040033,166.8720841407776,1347,216,214,0
cluster,row_speculative,default,1,2755033.022056291,172.14067702966608,-1.0,1974,3,1,136,0.6800000000000003,1974,16384.20519817646,166.8720841407776,1465,255,254,0
cluster,row_speculative,default,1,2755034.193023458,259.3711053378994,-1.0,2277,3,3,163,0.8150000000000004,2276,17841.09965666039,166.8720841407776,1728,276,273,0
cluster,row_speculative,default,1,2755035.340847041,186.321389022425,-1.0,2494,3,0,163,0.8150000000000004,2494,20109.59128956165,166.8720841407776,1878,308,308,0
cluster,row_speculative,default,1,2755036.48352325,218.53503603497256,-1.0,2746,3,2,196,0.9800000000000005,2745,21971.833962742494,166.8720841407776,2081,333,331,0
cluster,row_speculative,default,1,2755037.637327958,227.6976865426512,-1.0,3006,3,0,227,1.1350000000000007,3005,23679.52833697973,166.8720841407776,2295,355,355,0
cluster,row_speculative,default,1,2755038.771410833,191.47478034843547,-1.0,3228,3,3,227,1.1350000000000007,3226,25683.75025559635,166.8720841407776,2444,393,390,0
cluster,row_speculative,default,1,2755039.908676541,218.79568136844256,-1.0,3476,3,1,256,1.280000000000001,3474,27448.721596643736,166.8720841407776,2647,414,413,0
cluster,row_speculative,default,1,2755041.035521,174.01121925237877,-1.0,3673,3,2,256,1.280000000000001,3672,29671.672852668962,166.8720841407776,2770,452,450,0
cluster,row_speculative,default,1,2755042.175978041,223.67830926787232,-1.0,3924,3,3,284,1.4200000000000008,3924,31462.277768988315,166.8720841407776,2974,476,473,0
cluster,row_speculative,default,1,2755043.338178375,177.17675411865713,-1.0,4127,3,0,329,1.6450000000000011,4126,33314.602647148145,166.8720841407776,3126,500,500,0
cluster,row_speculative,default,1,2755044.4924845,204.7817322788779,-1.0,4364,3,2,338,1.690000000000001,4364,35663.48881740123,172.73958260193467,3305,531,529,0
cluster,row_speculative,default,1,2755045.632098541,244.99298298037536,-1.0,4647,3,3,371,1.8550000000000013,4647,37418.246904812804,172.73958260193467,3546,552,549,0
cluster,row_speculative,default,1,2755046.774361166,190.5698514326847,-1.0,4865,3,0,371,1.8550000000000013,4864,39577.258202564735,172.73958260193467,3694,585,585,0
cluster,row_speculative,default,1,2755047.907590958,234.58623980178967,-1.0,5132,3,0,416,2.0800000000000014,5132,41214.92603496199,172.73958260193467,3932,600,600,0
cluster,row_speculative,default,1,2755049.068992541,178.2269331494248,-1.0,5335,3,2,416,2.0800000000000014,5334,43373.37824640872,172.73958260193467,4060,638,636,0
cluster,row_speculative,default,1,2755050.204464041,232.52317438163098,-1.0,5604,3,2,443,2.2150000000000016,5604,45180.19053985245,172.73958260193467,4282,662,660,0
cluster,row_speculative,default,1,2755051.346376416,218.43790601787933,-1.0,5852,3,0,474,2.370000000000002,5852,46875.23882986307,172.73958260193467,4486,683,683,0
cluster,row_speculative,default,1,2755052.530339625,212.77219852542277,-1.0,6096,3,3,474,2.370000000000002,6095,48830.37378962399,172.73958260193467,4666,716,713,0
cluster,row_speculative,default,1,2755053.679595375,211.61191587630344,-1.0,6349,3,3,501,2.505,6346,50663.14371126191,172.73958260193467,4869,740,737,0
cluster,row_speculative,default,1,2755054.834231333,184.68147048346395,-1.0,6559,3,2,501,2.505,6558,52665.88913083114,172.73958260193467,5014,773,771,0
