experiment,config,param_value,rep,metric,value
cluster,row_two_phase,default,1,snapshot_count,15
cluster,row_two_phase,default,1,snapshot_committed,15
cluster,row_two_phase,default,1,snapshot_skipped,0
cluster,row_two_phase,default,1,snapshot_success_rate,1.0
cluster,row_two_phase,default,1,avg_retry_rate,0.0
cluster,row_two_phase,default,1,avg_latency_ms,488.3699972182512
cluster,row_two_phase,default,1,p50_latency_ms,469.7601250372827
cluster,row_two_phase,default,1,p99_latency_ms,693.1178327649832
cluster,row_two_phase,default,1,max_latency_ms,693.1178327649832
cluster,row_two_phase,default,1,avg_throughput_writes_sec,213.89593471192242
cluster,row_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_two_phase,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,max_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,causal_consistency_rate,1.0
cluster,row_two_phase,default,1,causal_checked_count,15.0
cluster,row_two_phase,default,1,avg_causal_violation_count,0.0
cluster,row_two_phase,default,1,conservation_validity_rate,1.0
cluster,row_two_phase,default,1,conservation_checked_count,15.0
cluster,row_two_phase,default,1,recovery_rate,1.0
cluster,row_two_phase,default,1,recovery_checked_count,15.0
cluster,row_two_phase,default,1,recovery_conservation_rate,1.0
cluster,row_two_phase,default,1,avg_convergence_ms,102.10093601296346
cluster,row_two_phase,default,1,avg_balance_sum,100000.0
cluster,row_two_phase,default,1,avg_in_transit,0.0
cluster,row_two_phase,default,1,avg_messages_per_snapshot,24.0
cluster,row_two_phase,default,1,total_control_messages,360
cluster,row_two_phase,default,1,avg_control_bytes_per_snapshot,11428.066666666668
cluster,row_two_phase,default,1,total_control_bytes,171421
cluster,row_two_phase,default,1,avg_drain_ms,104.02668329576652
cluster,row_two_phase,default,1,avg_finalize_ms,82.79991659025352
cluster,row_two_phase,default,1,avg_validation_ms,96.42010840276878
cluster,row_two_phase,default,1,avg_commit_ms,96.29433614512284
cluster,row_two_phase,default,1,avg_recovery_ms,102.73099429905415
cluster,row_two_phase,default,1,avg_write_log_entries,35.4
cluster,row_two_phase,default,1,avg_write_log_bytes,4444.333333333333
cluster,row_two_phase,default,1,avg_dependency_tags_checked,0.0
cluster,row_two_phase,default,1,max_pending_transfers,3
cluster,row_two_phase,default,1,max_write_latency_ms,250.0
cluster,row_two_phase,default,1,total_paused_retries,472.0
cluster,row_two_phase,default,1,total_paused_wait_s,2.3600000000000017
cluster,row_two_phase,default,1,total_local_writes,5233.0
cluster,row_two_phase,default,1,total_cross_transfers,722.0
cluster,row_two_phase,default,1,total_cross_transfers_completed,719.0
cluster,row_two_phase,default,1,total_pending_retries,0.0
cluster,row_two_phase,default,1,avg_write_latency_ms,7.7264185779772845
