experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_two_phase,default,1,2754992.916095958,212.72916918830092,-1.0,274,3,2,0,0.0,272,2783.8333841455096,94.00000000005093,178,48,46,0
cluster,row_two_phase,default,1,2754994.073300708,218.9204728346804,-1.0,523,3,2,29,0.145,521,4583.405883752675,172.6549998857081,380,71,69,0
cluster,row_two_phase,default,1,2754995.211678958,171.92482086490293,-1.0,720,3,2,29,0.145,720,6742.117002048872,172.6549998857081,507,107,105,0
cluster,row_two_phase,default,1,2754996.381925166,238.1083825231826,-1.0,994,3,3,58,0.2900000000000001,991,8345.678419036176,172.6549998857081,740,127,124,0
cluster,row_two_phase,default,1,2754997.545857875,234.12274154778646,-1.0,1267,3,0,91,0.4550000000000002,1265,10197.0859286198,172.6549998857081,973,146,146,0
cluster,row_two_phase,default,1,2754998.708502291,213.83312860918022,-1.0,1516,3,2,91,0.4550000000000002,1514,12172.013972778586,172.6549998857081,1154,181,179,0
cluster,row_two_phase,default,1,2754999.846094166,219.40842455497818,-1.0,1772,3,3,136,0.6800000000000003,1769,13905.894834023911,172.6549998857081,1365,204,201,0
cluster,row_two_phase,default,1,2755000.986630833,167.83650616038005,-1.0,1959,3,2,136,0.6800000000000003,1960,16242.004679587808,172.6549998857081,1478,242,240,0
cluster,row_two_phase,default,1,2755002.12711525,238.62173150269103,-1.0,2234,3,2,165,0.8250000000000004,2232,17942.24712924779,172.6549998857081,1711,262,260,0
cluster,row_two_phase,default,1,2755003.282349541,220.02196189494418,-1.0,2483,3,0,180,0.9000000000000005,2483,19714.007257473895,172.6549998857081,1907,288,288,0
cluster,row_two_phase,default,1,2755004.442777166,242.26825397254146,-1.0,2765,3,1,201,1.0050000000000006,2763,21635.64621682235,172.6549998857081,2138,313,312,0
cluster,row_two_phase,default,1,2755005.576280958,254.27217662865382,-1.0,3058,3,3,230,1.1500000000000008,3058,23280.61424085263,172.6549998857081,2390,335,332,0
cluster,row_two_phase,default,1,2755006.722220958,165.83160352350228,-1.0,3247,3,2,230,1.1500000000000008,3246,25781.098865011245,172.6549998857081,2499,375,373,0
cluster,row_two_phase,default,1,2755007.857205333,224.18738352006147,-1.0,3505,3,3,257,1.2850000000000008,3503,27383.68458291643,172.6549998857081,2712,397,394,0
cluster,row_two_phase,default,1,2755008.9925025,196.6057226362451,-1.0,3726,3,1,257,1.2850000000000008,3726,29543.407788080913,172.6549998857081,2865,431,430,0
cluster,row_two_phase,default,1,2755010.126208875,241.3338451941975,-1.0,4000,3,2,281,1.405000000000001,4000,31049.696706240866,172.6549998857081,3101,450,448,0
cluster,row_two_phase,default,1,2755011.298065125,227.62512472256495,-1.0,4259,3,0,307,1.535000000000001,4258,32905.10945577353,172.6549998857081,3306,476,476,0
cluster,row_two_phase,default,1,2755012.503721958,222.80120658792478,-1.0,4518,3,2,307,1.535000000000001,4519,34862.04058181647,172.6549998857081,3522,499,497,0
cluster,row_two_phase,default,1,2755013.633907333,207.30911830275824,-1.0,4770,3,0,355,1.7750000000000012,4769,36807.51041047415,250.0,3747,511,511,0
cluster,row_two_phase,default,1,2755014.796291625,198.06366977253322,-1.0,4995,3,3,355,1.7750000000000012,4993,38840.299526905255,250.0,3922,537,534,0
cluster,row_two_phase,default,1,2755015.974751916,211.59242659957295,-1.0,5240,3,3,382,1.9100000000000015,5239,40436.4911579878,250.0,4127,557,554,0
cluster,row_two_phase,default,1,2755017.129012333,183.35834810113002,-1.0,5456,3,3,382,1.9100000000000015,5455,42635.05624141317,250.0,4270,594,591,0
cluster,row_two_phase,default,1,2755018.271757333,231.26745358056908,-1.0,5722,3,3,415,2.0750000000000015,5722,44428.115160880225,250.0,4498,613,610,0
cluster,row_two_phase,default,1,2755019.408381291,204.11317251639028,-1.0,5955,3,0,420,2.1000000000000014,5955,46278.99441088493,250.0,4681,637,637,0
cluster,row_two_phase,default,1,2755020.567179291,219.91165930129344,-1.0,6205,3,3,443,2.2150000000000016,6205,48386.17927668338,250.0,4875,667,664,0
cluster,row_two_phase,default,1,2755021.699936375,213.08908315861493,-1.0,6454,3,1,472,2.3600000000000017,6452,50247.61569286602,250.0,5073,690,689,0
cluster,row_two_phase,default,1,2755022.84457775,196.0326494223254,-1.0,6677,3,3,472,2.3600000000000017,6674,52248.36512035609,250.0,5233,722,719,0
