experiment,config,param_value,rep,snapshot_id,logical_ts,success,skipped,retries,duration_ms,causal_consistent,causal_violation_count,conservation_holds,recovery_verified,recovery_conservation_holds,convergence_ms,drain_ms,finalize_ms,validation_ms,commit_ms,recovery_ms,balance_sum,in_transit_total,message_count,control_bytes,write_log_entries,write_log_bytes,dependency_tags_checked,delta_blocks
cluster,row_two_phase,default,1,1,116478794935435264,True,False,0,434.0192498639226,True,0,True,True,True,104.21858308836818,71.52037508785725,76.19437482208014,79.10299999639392,79.0075408294797,102.82395826652646,100000,0,24,7300,36,4522,0,
cluster,row_two_phase,default,1,2,116478795062312960,True,False,0,424.8194582760334,True,0,True,True,True,86.79437497630715,85.20416589453816,75.0879580155015,72.22108310088515,71.80245919153094,105.24491593241692,100000,0,24,7005,27,3393,0,
cluster,row_two_phase,default,1,3,116478795188535296,True,False,0,469.7601250372827,True,0,True,True,True,114.66395808383822,80.6307909078896,87.8788330592215,106.57233325764537,106.4941668882966,79.7091661952436,100000,0,24,8986,40,5021,0,
cluster,row_two_phase,default,1,4,116478795317772288,True,False,0,490.1209999807179,True,0,True,True,True,93.23066705837846,67.43999989703298,135.79533295705914,96.63983387872577,96.50241676717997,96.73199988901615,100000,0,24,9743,41,5144,0,
cluster,row_two_phase,default,1,5,116478795448320000,True,False,0,420.4871663823724,True,0,True,True,True,86.59187518060207,59.83654176816344,77.69254175946116,59.16866706684232,59.05004218220711,136.82870799675584,100000,0,24,8836,27,3388,0,
cluster,row_two_phase,default,1,6,116478795574280192,True,False,0,486.62499990314245,True,0,True,True,True,90.45779192820191,143.86412501335144,89.50674999505281,68.48587468266487,68.4393746778369,94.05362512916327,100000,0,24,9622,29,3642,0,
cluster,row_two_phase,default,1,7,116478795704565760,True,False,0,539.516709279269,True,0,True,True,True,86.11987484619021,189.42283326759934,74.12174995988607,112.29187529534101,112.18449985608459,77.23745796829462,100000,0,24,10408,31,3888,0,
cluster,row_two_phase,default,1,8,116478795838455808,True,False,0,434.945875313133,True,0,True,True,True,115.31683430075645,64.97629173099995,60.61825016513467,112.14816709980369,112.05841694027185,81.54595782980323,100000,0,24,11729,37,4642,0,
cluster,row_two_phase,default,1,9,116478795965333504,True,False,0,507.5412499718368,True,0,True,True,True,181.7131657153368,105.80299980938435,64.09229198470712,71.52174971997738,71.47729117423296,84.27054202184081,100000,0,24,13794,50,6279,0,
cluster,row_two_phase,default,1,10,116478796096929792,True,False,0,578.9484577253461,True,0,True,True,True,96.3294580578804,91.6214999742806,65.86416624486446,87.08741702139378,86.96704171597958,237.78412537649274,100000,0,24,12689,35,4395,0,
cluster,row_two_phase,default,1,11,116478796233310208,True,False,0,693.1178327649832,True,0,True,True,True,81.15145796909928,215.34541714936495,122.00012477114797,191.3778749294579,191.31087511777878,82.92874973267317,100000,0,24,13904,42,5270,0,
cluster,row_two_phase,default,1,12,116478796377161728,True,False,0,442.5264592282474,True,0,True,True,True,100.88579077273607,98.53458404541016,75.95337508246303,87.88845781236887,87.77191583067179,78.89733277261257,100000,0,24,13245,32,4018,0,
cluster,row_two_phase,default,1,13,116478796504563712,True,False,0,538.2962916046381,True,0,True,True,True,99.12925027310848,137.37104088068008,98.2542079873383,114.20845799148083,113.96279186010361,88.93300034105778,100000,0,24,14768,40,5027,0,
cluster,row_two_phase,default,1,14,116478796638257152,True,False,0,429.4779999181628,True,0,True,True,True,98.63462531939149,81.88129216432571,67.83154187723994,79.06920928508043,78.99825042113662,101.81325022131205,100000,0,24,14504,33,4147,0,
cluster,row_two_phase,default,1,15,116478796764872704,True,False,0,435.3470830246806,True,0,True,True,True,96.27633262425661,66.94829184561968,71.10725017264485,108.51762490347028,108.38795872405171,92.162124812603,100000,0,24,14888,31,3889,0,
