experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_speculative,default,1,2755262.746703916,485.5819746143189,-1.0,632,3,0,0,0.0,632,664.03860704213,32.000000000152795,632,0,0,0
cluster,row_speculative,default,1,2755263.893068375,385.41052753220424,-1.0,1087,3,0,31,0.15499999999999997,1086,1351.5544074516583,86.84800006449223,1086,0,0,0
cluster,row_speculative,default,1,2755265.058654375,442.85549561383107,-1.0,1595,3,0,31,0.15499999999999997,1594,2099.4508919834516,86.84800006449223,1594,0,0,0
cluster,row_speculative,default,1,2755266.208741125,405.0674768624582,-1.0,2066,3,0,57,0.28500000000000003,2066,3004.3395623197284,94.00000000005093,2066,0,0,0
cluster,row_speculative,default,1,2755267.337317583,396.23758236744334,-1.0,2522,3,0,89,0.4450000000000002,2522,3709.4534275579463,94.00000000005093,2522,0,0,0
cluster,row_speculative,default,1,2755268.481620166,422.9257373834394,-1.0,3000,3,0,89,0.4450000000000002,2999,4100.724761405218,94.00000000005093,2999,0,0,0
cluster,row_speculative,default,1,2755269.641189208,380.19080602445524,-1.0,3435,3,0,125,0.6250000000000002,3434,4724.282891520488,125.0,3434,0,0,0
cluster,row_speculative,default,1,2755270.807955666,432.98766557036885,-1.0,3937,3,0,125,0.6250000000000002,3936,5349.7511134869455,125.0,3936,0,0,0
cluster,row_speculative,default,1,2755271.960838833,371.0758913630193,-1.0,4370,3,0,161,0.8050000000000004,4369,6277.348441878075,204.00000000017826,4369,0,0,0
cluster,row_speculative,default,1,2755273.172584875,395.5951150339715,-1.0,4826,3,0,182,0.9100000000000005,4825,6652.281422255328,204.00000000017826,4825,0,0,0
cluster,row_speculative,default,1,2755274.340321375,420.8460305052875,-1.0,5337,3,0,192,0.9600000000000005,5335,7658.55411631037,204.00000000017826,5335,0,0,0
cluster,row_speculative,default,1,2755275.481263916,381.904545977941,-1.0,5781,3,0,221,1.1050000000000006,5781,8197.325414811985,204.00000000017826,5781,0,0,0
cluster,row_speculative,default,1,2755276.616176875,421.5366832693266,-1.0,6264,3,0,221,1.1050000000000006,6262,8539.276453206185,204.00000000017826,6262,0,0,0
cluster,row_speculative,default,1,2755277.754076166,399.09881196293696,-1.0,6716,3,0,248,1.2400000000000007,6715,9149.290126794767,204.00000000017826,6715,0,0,0
cluster,row_speculative,default,1,2755278.925879375,443.1010581237549,-1.0,7219,3,0,249,1.2450000000000008,7219,9854.83909484583,204.00000000017826,7219,0,0,0
cluster,row_speculative,default,1,2755280.088587833,402.80908124867597,-1.0,7691,3,0,282,1.410000000000001,7691,10885.81613094857,204.00000000017826,7691,0,0,0
cluster,row_speculative,default,1,2755281.223510208,385.2272239384467,-1.0,8139,3,0,314,1.570000000000001,8139,11537.208290172202,204.00000000017826,8139,0,0,0
cluster,row_speculative,default,1,2755282.363543833,421.04745475754345,-1.0,8618,3,0,314,1.570000000000001,8617,11879.950884131176,204.00000000017826,8617,0,0,0
cluster,row_speculative,default,1,2755283.556787,395.5744343169713,-1.0,9068,3,0,344,1.720000000000001,9068,12500.872555056048,204.00000000017826,9068,0,0,0
cluster,row_speculative,default,1,2755284.716688291,409.8310420276808,-1.0,9559,3,0,344,1.720000000000001,9557,12868.490722232764,204.00000000017826,9557,0,0,0
cluster,row_speculative,default,1,2755285.84880525,401.82063831407845,-1.0,10024,3,0,371,1.8550000000000013,10023,13528.215179307153,204.00000000017826,10023,0,0,0
cluster,row_speculative,default,1,2755286.980992708,398.4676812432615,-1.0,10475,3,0,401,2.0050000000000017,10474,14383.525399783139,204.00000000017826,10474,0,0,0
cluster,row_speculative,default,1,2755288.132627166,422.2075892122323,-1.0,10952,3,0,401,2.0050000000000017,10952,14778.22336600866,204.00000000017826,10952,0,0,0
cluster,row_speculative,default,1,2755289.272823916,380.2544072062119,-1.0,11390,3,0,437,2.1850000000000014,11390,15425.413288304298,204.00000000017826,11390,0,0,0
cluster,row_speculative,default,1,2755290.409671333,420.17929358957787,-1.0,11870,3,0,437,2.1850000000000014,11869,15796.711481475995,204.00000000017826,11869,0,0,0
cluster,row_speculative,default,1,2755291.562411458,394.9820999005701,-1.0,12319,3,0,473,2.365000000000002,12318,16513.933310380253,204.00000000017826,12318,0,0,0
