experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_two_phase,default,1,2755230.832812041,479.91811383716686,-1.0,626,3,0,0,0.0,625,532.1578034609047,16.000000000076398,625,0,0,0
cluster,row_two_phase,default,1,2755231.966053625,390.95030023613054,-1.0,1074,3,0,30,0.15,1073,1233.534263398269,79.84600029885769,1073,0,0,0
cluster,row_two_phase,default,1,2755233.174947583,436.8563656571356,-1.0,1568,3,0,30,0.15,1568,1662.6905503753733,79.84600029885769,1568,0,0,0
cluster,row_two_phase,default,1,2755234.330079708,406.18602297243746,-1.0,2060,3,0,58,0.29000000000000004,2059,2572.78730338021,79.84600029885769,2059,0,0,0
cluster,row_two_phase,default,1,2755235.49213175,395.71646300740167,-1.0,2516,3,0,96,0.4800000000000002,2516,3254.1468853723927,134.03137493878603,2516,0,0,0
cluster,row_two_phase,default,1,2755236.638918208,408.5775039394031,-1.0,2991,3,0,96,0.4800000000000002,2991,3607.5142475438042,134.03137493878603,2991,0,0,0
cluster,row_two_phase,default,1,2755237.808616083,375.99302018462174,-1.0,3423,3,0,148,0.7400000000000003,3422,4540.080609600864,168.0273748934269,3422,0,0,0
cluster,row_two_phase,default,1,2755238.955877041,413.7707434606598,-1.0,3907,3,0,148,0.7400000000000003,3906,4962.025958448521,168.0273748934269,3906,0,0,0
cluster,row_two_phase,default,1,2755240.100003875,386.1027416499203,-1.0,4350,3,0,178,0.8900000000000005,4349,5613.716710857716,168.0273748934269,4349,0,0,0
cluster,row_two_phase,default,1,2755241.261316125,441.4209135033825,-1.0,4854,3,0,178,0.8900000000000005,4854,6341.433167613559,168.0273748934269,4854,0,0,0
cluster,row_two_phase,default,1,2755242.388071333,405.5807249273529,-1.0,5325,3,0,210,1.0500000000000007,5325,7229.637527398154,168.0273748934269,5325,0,0,0
cluster,row_two_phase,default,1,2755243.515240416,383.39277675590466,-1.0,5758,3,0,239,1.1950000000000007,5757,7793.283791567774,168.0273748934269,5757,0,0,0
cluster,row_two_phase,default,1,2755244.667085208,430.3453354640603,-1.0,6242,3,0,239,1.1950000000000007,6242,8213.477246962157,168.0273748934269,6242,0,0,0
cluster,row_two_phase,default,1,2755245.808178958,399.3656743554198,-1.0,6702,3,0,267,1.3350000000000009,6702,9042.544504154193,168.0273748934269,6702,0,0,0
cluster,row_two_phase,default,1,2755246.949620083,436.26201674560195,-1.0,7202,3,0,267,1.3350000000000009,7200,9687.461666632316,168.0273748934269,7200,0,0,0
cluster,row_two_phase,default,1,2755248.091844583,375.92531351070045,-1.0,7630,3,0,299,1.495000000000001,7629,10466.963882174241,168.0273748934269,7629,0,0,0
cluster,row_two_phase,default,1,2755249.241187083,391.1722690431382,-1.0,8077,3,0,332,1.660000000000001,8076,11444.878620054624,168.0273748934269,8076,0,0,0
cluster,row_two_phase,default,1,2755250.381725083,447.20199659370326,-1.0,8590,3,0,332,1.660000000000001,8590,12294.946504201562,168.0273748934269,8590,0,0,0
cluster,row_two_phase,default,1,2755251.541443041,381.5701749547513,-1.0,9026,3,0,364,1.8200000000000012,9025,12929.0139744503,168.0273748934269,9025,0,0,0
cluster,row_two_phase,default,1,2755252.67817175,419.9365830393598,-1.0,9512,3,0,364,1.8200000000000012,9512,13316.577668718764,168.0273748934269,9512,0,0,0
cluster,row_two_phase,default,1,2755253.812943833,390.5348368856775,-1.0,9957,3,0,393,1.9650000000000014,9956,14211.108008384144,168.0273748934269,9956,0,0,0
cluster,row_two_phase,default,1,2755254.980565083,403.6345322438801,-1.0,10414,3,0,407,2.0350000000000015,10414,14565.550256039387,168.0273748934269,10414,0,0,0
cluster,row_two_phase,default,1,2755256.135841,403.37815619412225,-1.0,10885,3,0,424,2.1200000000000014,10885,15230.027861378858,168.0273748934269,10885,0,0,0
cluster,row_two_phase,default,1,2755257.266538458,398.9886805235623,-1.0,11346,3,0,453,2.2650000000000015,11346,16159.599433824496,168.0273748934269,11346,0,0,0
cluster,row_two_phase,default,1,2755258.406602958,421.9321886773299,-1.0,11824,3,0,453,2.2650000000000015,11823,16577.95446184673,168.0273748934269,11823,0,0,0
cluster,row_two_phase,default,1,2755259.541270583,364.88606109822797,-1.0,12239,3,0,503,2.5149999999999992,12239,17318.58215807779,168.0273748934269,12239,0,0,0
cluster,row_two_phase,default,1,2755260.695577291,446.7123854400891,-1.0,12746,3,0,503,2.5149999999999992,12746,18132.050567534407,168.0273748934269,12746,0,0,0
