experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_baseline,default,1,2755351.304713625,205.83814270059787,-1.0,243,3,2,0,0.0,242,2451.243908185461,97.72183420136571,161,42,40,0
cluster,row_baseline,default,1,2755352.456173583,197.10415284128334,-1.0,469,3,3,0,0.0,466,4463.377106640564,97.72183420136571,311,79,76,0
cluster,row_baseline,default,1,2755353.643924791,208.64621948346215,-1.0,709,3,2,0,0.0,706,6469.326951198127,97.72183420136571,478,115,113,0
cluster,row_baseline,default,1,2755354.787887083,169.06936878336984,-1.0,910,3,3,0,0.0,907,8593.380579643053,117.31308279559016,607,152,149,0
cluster,row_baseline,default,1,2755355.921630958,159.2016301083894,-1.0,1090,3,3,0,0.0,1089,10874.79016346515,117.31308279559016,718,187,184,0
cluster,row_baseline,default,1,2755357.114139166,191.24258764933586,-1.0,1309,3,3,0,0.0,1306,12834.737284973926,117.31308279559016,865,222,219,0
cluster,row_baseline,default,1,2755358.24210125,144.26313933209127,-1.0,1479,3,3,0,0.0,1478,15278.770784225799,141.9856669381261,975,253,250,0
cluster,row_baseline,default,1,2755359.382110916,147.2944570846011,-1.0,1645,3,2,0,0.0,1644,17528.421124410215,146.67233265936375,1078,284,282,0
cluster,row_baseline,default,1,2755360.550717666,177.88185209540308,-1.0,1849,3,2,0,0.0,1847,19777.487252291394,170.46529240906239,1221,314,312,0
cluster,row_baseline,default,1,2755361.707761583,183.95342870789443,-1.0,2064,3,2,0,0.0,2062,21878.86200194862,170.46529240906239,1373,346,344,0
cluster,row_baseline,default,1,2755362.858140833,142.74611295663368,-1.0,2230,3,3,0,0.0,2227,23994.543298032568,170.46529240906239,1478,376,373,0
cluster,row_baseline,default,1,2755363.992800666,147.76164466065137,-1.0,2396,3,3,0,0.0,2397,26365.44567022156,170.46529240906239,1585,407,404,0
cluster,row_baseline,default,1,2755365.177958666,171.7501216102245,-1.0,2594,3,3,0,0.0,2592,28350.014133394325,170.46529240906239,1720,438,435,0
cluster,row_baseline,default,1,2755366.355827708,164.5612960323228,-1.0,2787,3,3,0,0.0,2787,30974.04483659966,170.46529240906239,1847,471,468,0
cluster,row_baseline,default,1,2755367.500011916,170.63895088307024,-1.0,2990,3,1,0,0.0,2988,33247.90642741346,170.46529240906239,1985,502,501,0
cluster,row_baseline,default,1,2755368.627980083,176.5296220196369,-1.0,3191,3,3,0,0.0,3190,35592.825099531634,170.46529240906239,2113,540,537,0
cluster,row_baseline,default,1,2755369.766739541,170.28155913624184,-1.0,3384,3,2,0,0.0,3382,37847.69160367523,170.46529240906239,2238,573,571,0
cluster,row_baseline,default,1,2755370.901837041,188.74157951265613,-1.0,3599,3,1,0,0.0,3597,40073.12294267422,170.46529240906239,2384,607,606,0
cluster,row_baseline,default,1,2755372.051538,140.11272832542687,-1.0,3759,3,3,0,0.0,3756,42134.913899912586,170.46529240906239,2475,642,639,0
cluster,row_baseline,default,1,2755373.187282958,173.04438735823692,-1.0,3956,3,1,0,0.0,3955,44457.657988682055,170.46529240906239,2602,677,676,0
cluster,row_baseline,default,1,2755374.3533955,191.90277390114503,-1.0,4176,3,2,0,0.0,4173,46510.658698066894,170.46529240906239,2754,710,708,0
cluster,row_baseline,default,1,2755375.501441083,186.10290825764247,-1.0,4395,3,3,0,0.0,4390,48363.35064978903,170.46529240906239,2908,743,740,0
cluster,row_baseline,default,1,2755376.633502666,171.70170662781317,-1.0,4589,3,3,0,0.0,4587,50747.415983624705,170.46529240906239,3031,780,777,0
cluster,row_baseline,default,1,2755377.798316833,175.71939815150844,-1.0,4790,3,2,0,0.0,4786,52879.5873997733,170.46529240906239,3160,814,812,0
cluster,row_baseline,default,1,2755378.958930333,163.9386006645018,-1.0,4979,3,2,0,0.0,4977,55245.045362644305,170.46529240906239,3271,854,852,0
cluster,row_baseline,default,1,2755380.109790916,180.099474698606,-1.0,5187,3,3,0,0.0,5186,57507.107559517404,170.46529240906239,3417,886,883,0
