experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_pause_and_snap,default,1,2755382.077277375,224.88268636996997,-1.0,276,3,3,0,0.0,276,2820.684530723611,157.50608406960964,191,43,40,0
cluster,row_pause_and_snap,default,1,2755383.206935666,174.53468717619268,-1.0,476,3,3,77,0.3850000000000001,477,4822.843400917463,233.9999999999236,350,64,61,0
cluster,row_pause_and_snap,default,1,2755384.35644925,200.04464126724795,-1.0,703,3,3,77,0.3850000000000001,703,6965.301764345895,233.9999999999236,512,96,93,0
cluster,row_pause_and_snap,default,1,2755385.505953416,205.45426670113565,-1.0,939,3,2,155,0.7750000000000004,939,8924.107427432318,233.9999999999236,712,115,113,0
cluster,row_pause_and_snap,default,1,2755386.645467083,193.1630572973039,-1.0,1162,3,0,157,0.7850000000000004,1161,11172.234044770903,233.9999999999236,869,146,146,0
cluster,row_pause_and_snap,default,1,2755387.812438833,193.77373287043346,-1.0,1384,3,3,240,1.2000000000000008,1382,13338.380295752359,243.77575051039457,1048,169,166,0
cluster,row_pause_and_snap,default,1,2755388.941309458,164.6249023665621,-1.0,1575,3,0,315,1.575000000000001,1574,15540.215584884209,243.77575051039457,1196,189,189,0
cluster,row_pause_and_snap,default,1,2755390.099887958,214.39433516855806,-1.0,1818,3,3,315,1.575000000000001,1816,17523.552583507353,243.77575051039457,1382,219,216,0
cluster,row_pause_and_snap,default,1,2755391.256241625,231.15402862291285,-1.0,2085,3,0,402,2.0100000000000016,2084,19607.2653393403,250.0,1618,233,233,0
cluster,row_pause_and_snap,default,1,2755392.432627,183.4423519177204,-1.0,2298,3,1,402,2.0100000000000016,2296,21788.9595083293,250.0,1771,263,262,0
cluster,row_pause_and_snap,default,1,2755393.61556525,186.1513853192524,-1.0,2516,3,3,482,2.410000000000002,2515,24077.930430154993,250.0,1943,288,285,0
cluster,row_pause_and_snap,default,1,2755394.754123875,167.32122764100612,-1.0,2715,3,3,482,2.410000000000002,2713,26270.96952062493,250.0,2073,322,319,0
cluster,row_pause_and_snap,default,1,2755395.886998458,201.15227011579964,-1.0,2945,3,3,589,2.9449999999999927,2942,28216.510745190135,328.621375374496,2273,336,333,0
cluster,row_pause_and_snap,default,1,2755397.027347333,188.01296705015432,-1.0,3155,3,1,589,2.9449999999999927,3155,30463.89271115504,328.621375374496,2420,368,367,0
cluster,row_pause_and_snap,default,1,2755398.163074625,194.72203859346305,-1.0,3377,3,2,716,3.5799999999999814,3377,32412.151720203383,394.28458362817764,2617,381,379,0
cluster,row_pause_and_snap,default,1,2755399.291538,208.6554446299264,-1.0,3616,3,3,716,3.5799999999999814,3614,34420.93659568172,394.28458362817764,2787,415,412,0
cluster,row_pause_and_snap,default,1,2755400.445763666,222.26983623175946,-1.0,3868,3,2,806,4.029999999999974,3865,36158.32955866608,394.28458362817764,3007,430,428,0
cluster,row_pause_and_snap,default,1,2755401.608539791,170.84831901260566,-1.0,4062,3,0,835,4.1749999999999705,4062,38255.40185146338,394.28458362817764,3144,459,459,0
cluster,row_pause_and_snap,default,1,2755402.769887875,187.33773784540267,-1.0,4281,3,3,920,4.599999999999964,4280,40450.302272807225,394.28458362817764,3326,478,475,0
cluster,row_pause_and_snap,default,1,2755403.896642625,168.048741836793,-1.0,4475,3,0,974,4.86999999999996,4475,42472.47448362714,394.28458362817764,3461,507,507,0
cluster,row_pause_and_snap,default,1,2755405.024518833,206.81661185796827,-1.0,4708,3,3,1035,5.1749999999999545,4708,44896.53773841201,394.28458362817764,3641,535,532,0
cluster,row_pause_and_snap,default,1,2755406.245406666,150.6436860749049,-1.0,4878,3,0,1151,5.754999999999944,4878,47008.29890330442,401.8417904153466,3764,557,557,0
cluster,row_pause_and_snap,default,1,2755407.406576541,190.05981706439658,-1.0,5112,3,0,1181,5.904999999999941,5110,49563.776246420275,401.8417904153466,3944,583,583,0
cluster,row_pause_and_snap,default,1,2755408.637756083,164.5403428216911,-1.0,5303,3,0,1285,6.42499999999993,5301,51896.78953106977,401.8417904153466,4093,604,604,0
cluster,row_pause_and_snap,default,1,2755409.781639416,190.0664749171191,-1.0,5536,3,1,1285,6.42499999999993,5535,54041.18815039328,401.8417904153466,4258,639,638,0
cluster,row_pause_and_snap,default,1,2755410.936469166,217.68357790534301,-1.0,5785,3,0,1378,6.88999999999992,5784,55962.38815035531,401.8417904153466,4476,654,654,0
