experiment,config,param_value,rep,metric,value
cluster,row_speculative,default,1,snapshot_count,15
cluster,row_speculative,default,1,snapshot_committed,15
cluster,row_speculative,default,1,snapshot_skipped,0
cluster,row_speculative,default,1,snapshot_success_rate,1.0
cluster,row_speculative,default,1,avg_retry_rate,0.0
cluster,row_speculative,default,1,avg_latency_ms,487.6426582845549
cluster,row_speculative,default,1,p50_latency_ms,471.1314169690013
cluster,row_speculative,default,1,p99_latency_ms,641.0733326338232
cluster,row_speculative,default,1,max_latency_ms,641.0733326338232
cluster,row_speculative,default,1,avg_throughput_writes_sec,226.0033938195233
cluster,row_speculative,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_speculative,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_speculative,default,1,max_delta_blocks_at_discard,0.0
cluster,row_speculative,default,1,causal_consistency_rate,1.0
cluster,row_speculative,default,1,causal_checked_count,15.0
cluster,row_speculative,default,1,avg_causal_violation_count,0.0
cluster,row_speculative,default,1,conservation_validity_rate,1.0
cluster,row_speculative,default,1,conservation_checked_count,15.0
cluster,row_speculative,default,1,recovery_rate,1.0
cluster,row_speculative,default,1,recovery_checked_count,15.0
cluster,row_speculative,default,1,recovery_conservation_rate,1.0
cluster,row_speculative,default,1,avg_convergence_ms,108.65031682575743
cluster,row_speculative,default,1,avg_balance_sum,100000.0
cluster,row_speculative,default,1,avg_in_transit,0.0
cluster,row_speculative,default,1,avg_messages_per_snapshot,24.0
cluster,row_speculative,default,1,total_control_messages,360
cluster,row_speculative,default,1,avg_control_bytes_per_snapshot,11836.533333333333
cluster,row_speculative,default,1,total_control_bytes,177548
cluster,row_speculative,default,1,avg_drain_ms,92.92191406711936
cluster,row_speculative,default,1,avg_finalize_ms,90.58494459216793
cluster,row_speculative,default,1,avg_validation_ms,88.15929169456165
cluster,row_speculative,default,1,avg_commit_ms,88.02002199615042
cluster,row_speculative,default,1,avg_recovery_ms,106.94048336396615
cluster,row_speculative,default,1,avg_write_log_entries,37.4
cluster,row_speculative,default,1,avg_write_log_bytes,4695.266666666666
cluster,row_speculative,default,1,avg_dependency_tags_checked,0.0
cluster,row_speculative,default,1,max_pending_transfers,3
cluster,row_speculative,default,1,max_write_latency_ms,407.22050005570054
cluster,row_speculative,default,1,total_paused_retries,511.0
cluster,row_speculative,default,1,total_paused_wait_s,2.554999999999999
cluster,row_speculative,default,1,total_local_writes,5491.0
cluster,row_speculative,default,1,total_cross_transfers,770.0
cluster,row_speculative,default,1,total_cross_transfers_completed,769.0
cluster,row_speculative,default,1,total_pending_retries,0.0
cluster,row_speculative,default,1,avg_write_latency_ms,7.1239505808096615
