experiment,config,param_value,rep,metric,value
cluster,row_pause_and_snap,default,1,snapshot_count,14
cluster,row_pause_and_snap,default,1,snapshot_committed,14
cluster,row_pause_and_snap,default,1,snapshot_skipped,0
cluster,row_pause_and_snap,default,1,snapshot_success_rate,1.0
cluster,row_pause_and_snap,default,1,avg_retry_rate,0.0
cluster,row_pause_and_snap,default,1,avg_latency_ms,631.8409820087254
cluster,row_pause_and_snap,default,1,p50_latency_ms,632.1483748033643
cluster,row_pause_and_snap,default,1,p99_latency_ms,791.1213752813637
cluster,row_pause_and_snap,default,1,max_latency_ms,791.1213752813637
cluster,row_pause_and_snap,default,1,avg_throughput_writes_sec,145.97612503993125
cluster,row_pause_and_snap,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_pause_and_snap,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_pause_and_snap,default,1,max_delta_blocks_at_discard,0.0
cluster,row_pause_and_snap,default,1,causal_consistency_rate,1.0
cluster,row_pause_and_snap,default,1,causal_checked_count,14.0
cluster,row_pause_and_snap,default,1,avg_causal_violation_count,0.0
cluster,row_pause_and_snap,default,1,conservation_validity_rate,1.0
cluster,row_pause_and_snap,default,1,conservation_checked_count,14.0
cluster,row_pause_and_snap,default,1,recovery_rate,1.0
cluster,row_pause_and_snap,default,1,recovery_checked_count,14.0
cluster,row_pause_and_snap,default,1,recovery_conservation_rate,1.0
cluster,row_pause_and_snap,default,1,avg_convergence_ms,110.87278559404824
cluster,row_pause_and_snap,default,1,avg_balance_sum,100000.0
cluster,row_pause_and_snap,default,1,avg_in_transit,0.0
cluster,row_pause_and_snap,default,1,avg_messages_per_snapshot,39.0
cluster,row_pause_and_snap,default,1,total_control_messages,546
cluster,row_pause_and_snap,default,1,avg_control_bytes_per_snapshot,10108.214285714286
cluster,row_pause_and_snap,default,1,total_control_bytes,141515
cluster,row_pause_and_snap,default,1,avg_drain_ms,106.84264890317407
cluster,row_pause_and_snap,default,1,avg_finalize_ms,0.0
cluster,row_pause_and_snap,default,1,avg_validation_ms,0.045598351529666355
cluster,row_pause_and_snap,default,1,avg_commit_ms,79.6569642677371
cluster,row_pause_and_snap,default,1,avg_recovery_ms,100.63517852021116
cluster,row_pause_and_snap,default,1,avg_write_log_entries,0.0
cluster,row_pause_and_snap,default,1,avg_write_log_bytes,2.0
cluster,row_pause_and_snap,default,1,avg_dependency_tags_checked,0.0
cluster,row_pause_and_snap,default,1,max_pending_transfers,3
cluster,row_pause_and_snap,default,1,max_write_latency_ms,405.99999999994907
cluster,row_pause_and_snap,default,1,total_paused_retries,1337.0
cluster,row_pause_and_snap,default,1,total_paused_wait_s,6.684999999999924
cluster,row_pause_and_snap,default,1,total_local_writes,2571.0
cluster,row_pause_and_snap,default,1,total_cross_transfers,988.0
cluster,row_pause_and_snap,default,1,total_cross_transfers_completed,985.0
cluster,row_pause_and_snap,default,1,total_pending_retries,0.0
cluster,row_pause_and_snap,default,1,avg_write_latency_ms,14.925212151872069
