experiment,config,param_value,rep,snapshot_id,logical_ts,success,skipped,retries,duration_ms,causal_consistent,causal_violation_count,conservation_holds,recovery_verified,recovery_conservation_holds,convergence_ms,drain_ms,finalize_ms,validation_ms,commit_ms,recovery_ms,balance_sum,in_transit_total,message_count,control_bytes,write_log_entries,write_log_bytes,dependency_tags_checked,delta_blocks
cluster,row_speculative,default,1,1,116478836332888064,True,False,0,423.67416620254517,True,0,True,True,True,89.24891706556082,111.2580830231309,80.77524974942207,59.903708286583424,59.70141710713506,82.21970777958632,100000,0,24,6808,29,3631,0,
cluster,row_speculative,default,1,2,116478836459044864,True,False,0,453.5389170050621,True,0,True,True,True,95.19258281216025,124.0870002657175,74.24045773223042,80.12450020760298,79.97520873323083,79.52595828101039,100000,0,24,7790,30,3766,0,
cluster,row_speculative,default,1,3,116478836587167744,True,False,0,414.0323749743402,True,0,True,True,True,96.71729197725654,80.5354998447001,67.6632090471685,95.08433379232883,94.94808269664645,73.66995792835951,100000,0,24,8974,33,4141,0,
cluster,row_speculative,default,1,4,116478836712734720,True,False,0,442.4897921271622,True,0,True,True,True,88.73050007969141,60.58070808649063,146.48795826360583,68.79916694015265,68.66245903074741,77.47683394700289,100000,0,24,10958,43,5403,0,
cluster,row_speculative,default,1,5,116478836840071168,True,False,0,527.2087496705353,True,0,True,True,True,101.153708063066,124.64358378201723,69.34270774945617,78.45470821484923,78.33700021728873,153.24141597375274,100000,0,24,10789,34,4275,0,
cluster,row_speculative,default,1,6,116478836973109248,True,False,0,423.4201670624316,True,0,True,True,True,83.04445818066597,122.35741596668959,73.65029165521264,66.8333750218153,66.66925037279725,77.27420795708895,100000,0,24,10630,25,3134,0,
cluster,row_speculative,default,1,7,116478837099397120,True,False,0,463.8117500580847,True,0,True,True,True,90.3689581900835,153.62924989312887,68.40941729024053,71.62745762616396,71.48462487384677,79.3615416623652,100000,0,24,12072,30,3766,0,
cluster,row_speculative,default,1,8,116478837228240896,True,False,0,396.0783747024834,True,0,True,True,True,91.57529193907976,68.99166572839022,78.98220792412758,78.8251250050962,78.72983301058412,77.48987479135394,100000,0,24,12863,30,3769,0,
cluster,row_speculative,default,1,9,116478837352562688,True,False,0,554.6610001474619,True,0,True,True,True,170.609625056386,132.47270788997412,59.6393751911819,65.73850009590387,65.67291589453816,125.71087526157498,100000,0,24,16590,56,7028,0,
cluster,row_speculative,default,1,10,116478837487370240,True,False,0,461.43458411097527,True,0,True,True,True,100.65858298912644,73.10024974867702,70.97820891067386,137.3477499000728,137.20166683197021,79.1137502528727,100000,0,24,15113,35,4401,0,
cluster,row_speculative,default,1,11,116478837616017408,True,False,0,484.1417921707034,True,0,True,True,True,85.91699972748756,106.76979087293148,75.7731250487268,78.86383309960365,78.73779209330678,136.39541622251272,100000,0,24,14912,26,3260,0,
cluster,row_speculative,default,1,12,116478837746171904,True,False,0,582.6262501068413,True,0,True,True,True,84.94716696441174,136.34120812639594,78.70300021022558,147.47550012543797,147.16308284550905,134.81062510982156,100000,0,24,16067,29,3643,0,
cluster,row_speculative,default,1,13,116478837882814464,True,False,0,496.1690828204155,True,0,True,True,True,126.2200833298266,97.25004201754928,91.54141740873456,98.80383405834436,98.66608306765556,81.92712487652898,100000,0,24,18720,46,5774,0,
cluster,row_speculative,default,1,14,116478838013755392,True,False,0,433.8040421716869,True,0,True,True,True,92.33629098162055,114.67320891097188,80.46525018289685,71.39425026252866,71.26558292657137,74.54987475648522,100000,0,24,17778,30,3768,0,
cluster,row_speculative,default,1,15,116478838140633088,True,False,0,542.1057916246355,True,0,True,True,True,160.37925006821752,118.99041617289186,76.05558261275291,77.51391688361764,77.35337503254414,108.85591665282845,100000,0,24,21483,56,7033,0,
