experiment,config,param_value,rep,metric,value
cluster,row_two_phase,default,1,snapshot_count,15
cluster,row_two_phase,default,1,snapshot_committed,15
cluster,row_two_phase,default,1,snapshot_skipped,0
cluster,row_two_phase,default,1,snapshot_success_rate,1.0
cluster,row_two_phase,default,1,avg_retry_rate,0.0
cluster,row_two_phase,default,1,avg_latency_ms,460.6115803432961
cluster,row_two_phase,default,1,p50_latency_ms,459.00220796465874
cluster,row_two_phase,default,1,p99_latency_ms,543.1866659782827
cluster,row_two_phase,default,1,max_latency_ms,543.1866659782827
cluster,row_two_phase,default,1,avg_throughput_writes_sec,171.9651040523422
cluster,row_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_two_phase,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,max_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,causal_consistency_rate,1.0
cluster,row_two_phase,default,1,causal_checked_count,15.0
cluster,row_two_phase,default,1,avg_causal_violation_count,0.0
cluster,row_two_phase,default,1,conservation_validity_rate,1.0
cluster,row_two_phase,default,1,conservation_checked_count,15.0
cluster,row_two_phase,default,1,recovery_rate,1.0
cluster,row_two_phase,default,1,recovery_checked_count,15.0
cluster,row_two_phase,default,1,recovery_conservation_rate,1.0
cluster,row_two_phase,default,1,avg_convergence_ms,92.48982230201364
cluster,row_two_phase,default,1,avg_balance_sum,100000.0
cluster,row_two_phase,default,1,avg_in_transit,0.0
cluster,row_two_phase,default,1,avg_messages_per_snapshot,24.0
cluster,row_two_phase,default,1,total_control_messages,360
cluster,row_two_phase,default,1,avg_control_bytes_per_snapshot,13030.533333333333
cluster,row_two_phase,default,1,total_control_bytes,195458
cluster,row_two_phase,default,1,avg_drain_ms,100.71446684499581
cluster,row_two_phase,default,1,avg_finalize_ms,85.83364446337025
cluster,row_two_phase,default,1,avg_validation_ms,87.97040019805233
cluster,row_two_phase,default,1,avg_commit_ms,87.82333042472601
cluster,row_two_phase,default,1,avg_recovery_ms,93.29977237309019
cluster,row_two_phase,default,1,avg_write_log_entries,31.666666666666668
cluster,row_two_phase,default,1,avg_write_log_bytes,3974.9333333333334
cluster,row_two_phase,default,1,avg_dependency_tags_checked,0.0
cluster,row_two_phase,default,1,max_pending_transfers,3
cluster,row_two_phase,default,1,max_write_latency_ms,157.4399578385055
cluster,row_two_phase,default,1,total_paused_retries,504.0
cluster,row_two_phase,default,1,total_paused_wait_s,2.5200000000000005
cluster,row_two_phase,default,1,total_local_writes,3141.0
cluster,row_two_phase,default,1,total_cross_transfers,1006.0
cluster,row_two_phase,default,1,total_cross_transfers_completed,1004.0
cluster,row_two_phase,default,1,total_pending_retries,0.0
cluster,row_two_phase,default,1,avg_write_latency_ms,11.43498622903813
