experiment,config,param_value,rep,metric,value
cluster,row_pause_and_snap,default,1,snapshot_count,21
cluster,row_pause_and_snap,default,1,snapshot_committed,21
cluster,row_pause_and_snap,default,1,snapshot_skipped,0
cluster,row_pause_and_snap,default,1,snapshot_success_rate,1.0
cluster,row_pause_and_snap,default,1,avg_retry_rate,0.0
cluster,row_pause_and_snap,default,1,avg_latency_ms,642.1593966938201
cluster,row_pause_and_snap,default,1,p50_latency_ms,619.8175000026822
cluster,row_pause_and_snap,default,1,p99_latency_ms,1060.8095419593155
cluster,row_pause_and_snap,default,1,max_latency_ms,1060.8095419593155
cluster,row_pause_and_snap,default,1,avg_throughput_writes_sec,186.52901618358888
cluster,row_pause_and_snap,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_pause_and_snap,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_pause_and_snap,default,1,max_delta_blocks_at_discard,0.0
cluster,row_pause_and_snap,default,1,causal_consistency_rate,1.0
cluster,row_pause_and_snap,default,1,causal_checked_count,21.0
cluster,row_pause_and_snap,default,1,avg_causal_violation_count,0.0
cluster,row_pause_and_snap,default,1,conservation_validity_rate,1.0
cluster,row_pause_and_snap,default,1,conservation_checked_count,21.0
cluster,row_pause_and_snap,default,1,recovery_rate,1.0
cluster,row_pause_and_snap,default,1,recovery_checked_count,21.0
cluster,row_pause_and_snap,default,1,recovery_conservation_rate,1.0
cluster,row_pause_and_snap,default,1,avg_convergence_ms,97.13187314836043
cluster,row_pause_and_snap,default,1,avg_balance_sum,100000.0
cluster,row_pause_and_snap,default,1,avg_in_transit,0.0
cluster,row_pause_and_snap,default,1,avg_messages_per_snapshot,39.0
cluster,row_pause_and_snap,default,1,total_control_messages,819
cluster,row_pause_and_snap,default,1,avg_control_bytes_per_snapshot,8140.238095238095
cluster,row_pause_and_snap,default,1,total_control_bytes,170945
cluster,row_pause_and_snap,default,1,avg_drain_ms,101.95449021245751
cluster,row_pause_and_snap,default,1,avg_finalize_ms,0.0
cluster,row_pause_and_snap,default,1,avg_validation_ms,0.044335367246752695
cluster,row_pause_and_snap,default,1,avg_commit_ms,83.57198219302865
cluster,row_pause_and_snap,default,1,avg_recovery_ms,114.98667869628186
cluster,row_pause_and_snap,default,1,avg_write_log_entries,0.0
cluster,row_pause_and_snap,default,1,avg_write_log_bytes,2.0
cluster,row_pause_and_snap,default,1,avg_dependency_tags_checked,0.0
cluster,row_pause_and_snap,default,1,max_pending_transfers,3
cluster,row_pause_and_snap,default,1,max_write_latency_ms,358.9999999999236
cluster,row_pause_and_snap,default,1,total_paused_retries,1905.0
cluster,row_pause_and_snap,default,1,total_paused_wait_s,9.524999999999864
cluster,row_pause_and_snap,default,1,total_local_writes,4254.0
cluster,row_pause_and_snap,default,1,total_cross_transfers,683.0
cluster,row_pause_and_snap,default,1,total_cross_transfers_completed,680.0
cluster,row_pause_and_snap,default,1,total_pending_retries,0.0
cluster,row_pause_and_snap,default,1,avg_write_latency_ms,10.08573602226271
