experiment,config,param_value,rep,metric,value
cluster,row_two_phase,default,1,snapshot_count,24
cluster,row_two_phase,default,1,snapshot_committed,24
cluster,row_two_phase,default,1,snapshot_skipped,0
cluster,row_two_phase,default,1,snapshot_success_rate,1.0
cluster,row_two_phase,default,1,avg_retry_rate,0.0
cluster,row_two_phase,default,1,avg_latency_ms,468.72204344253987
cluster,row_two_phase,default,1,p50_latency_ms,455.5363333784044
cluster,row_two_phase,default,1,p99_latency_ms,602.1695001982152
cluster,row_two_phase,default,1,max_latency_ms,602.1695001982152
cluster,row_two_phase,default,1,avg_throughput_writes_sec,222.32032196060865
cluster,row_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_two_phase,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,max_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,causal_consistency_rate,1.0
cluster,row_two_phase,default,1,causal_checked_count,24.0
cluster,row_two_phase,default,1,avg_causal_violation_count,0.0
cluster,row_two_phase,default,1,conservation_validity_rate,1.0
cluster,row_two_phase,default,1,conservation_checked_count,24.0
cluster,row_two_phase,default,1,recovery_rate,1.0
cluster,row_two_phase,default,1,recovery_checked_count,24.0
cluster,row_two_phase,default,1,recovery_conservation_rate,1.0
cluster,row_two_phase,default,1,avg_convergence_ms,93.24081424468507
cluster,row_two_phase,default,1,avg_balance_sum,100000.0
cluster,row_two_phase,default,1,avg_in_transit,0.0
cluster,row_two_phase,default,1,avg_messages_per_snapshot,24.0
cluster,row_two_phase,default,1,total_control_messages,576
cluster,row_two_phase,default,1,avg_control_bytes_per_snapshot,10956.375
cluster,row_two_phase,default,1,total_control_bytes,262953
cluster,row_two_phase,default,1,avg_drain_ms,103.31384013018881
cluster,row_two_phase,default,1,avg_finalize_ms,84.26107128616422
cluster,row_two_phase,default,1,avg_validation_ms,89.23199481796473
cluster,row_two_phase,default,1,avg_commit_ms,89.12115280206005
cluster,row_two_phase,default,1,avg_recovery_ms,98.3846423138554
cluster,row_two_phase,default,1,avg_write_log_entries,31.791666666666668
cluster,row_two_phase,default,1,avg_write_log_bytes,3992.5416666666665
cluster,row_two_phase,default,1,avg_dependency_tags_checked,0.0
cluster,row_two_phase,default,1,max_pending_transfers,3
cluster,row_two_phase,default,1,max_write_latency_ms,202.99999999997453
cluster,row_two_phase,default,1,total_paused_retries,772.0
cluster,row_two_phase,default,1,total_paused_wait_s,3.8599999999999763
cluster,row_two_phase,default,1,total_local_writes,5200.0
cluster,row_two_phase,default,1,total_cross_transfers,730.0
cluster,row_two_phase,default,1,total_cross_transfers_completed,727.0
cluster,row_two_phase,default,1,total_pending_retries,0.0
cluster,row_two_phase,default,1,avg_write_latency_ms,7.460996759930239
