experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_two_phase,default,1,2755764.348936083,241.94111756167985,-1.0,305,3,0,35,0.175,305,2663.2626993546182,139.99999999987267,229,38,38,0
cluster,row_two_phase,default,1,2755765.48414925,195.3542216026401,-1.0,532,3,0,78,0.3900000000000001,531,4545.211362447844,139.99999999987267,393,69,69,0
cluster,row_two_phase,default,1,2755766.651554208,211.3932055646582,-1.0,773,3,0,82,0.41000000000000014,771,6599.240398932579,142.10437471047044,579,96,96,0
cluster,row_two_phase,default,1,2755767.786786041,230.23400423497569,-1.0,1041,3,1,111,0.5550000000000003,1040,8405.054229654525,142.10437471047044,793,124,123,0
cluster,row_two_phase,default,1,2755768.971042958,229.0706263354235,-1.0,1302,3,2,139,0.6950000000000003,1300,10411.77918512767,142.10437471047044,996,153,151,0
cluster,row_two_phase,default,1,2755770.110344916,210.25261561697133,-1.0,1550,3,3,167,0.8350000000000004,1549,12437.094678301492,142.10437471047044,1189,181,178,0
cluster,row_two_phase,default,1,2755771.247498375,223.05889626816503,-1.0,1804,3,2,192,0.9600000000000005,1803,14196.159971698762,142.10437471047044,1391,207,205,0
cluster,row_two_phase,default,1,2755772.385252458,233.93362628759033,-1.0,2070,3,1,231,1.1550000000000007,2069,15955.08746195901,157.0000000001528,1612,229,228,0
cluster,row_two_phase,default,1,2755773.548194583,224.03517443395828,-1.0,2325,3,2,278,1.390000000000001,2324,17847.323210183276,157.0000000001528,1815,255,253,0
cluster,row_two_phase,default,1,2755774.695236083,234.01873895162535,-1.0,2596,3,3,307,1.535000000000001,2596,19582.87637938929,157.0000000001528,2036,282,279,0
cluster,row_two_phase,default,1,2755775.839880083,215.28334548239022,-1.0,2843,3,2,333,1.6650000000000011,2843,21476.701228201364,157.0000000001528,2227,309,307,0
cluster,row_two_phase,default,1,2755776.985463583,219.32759619185467,-1.0,3095,3,3,362,1.8100000000000014,3094,23290.871428325772,157.0000000001528,2429,334,331,0
cluster,row_two_phase,default,1,2755778.141803666,210.93087532358484,-1.0,3338,3,3,391,1.9550000000000014,3336,25322.641423895675,157.0000000001528,2611,364,361,0
cluster,row_two_phase,default,1,2755779.271934791,241.4791418802662,-1.0,3615,3,2,420,2.1000000000000014,3615,27300.85881121431,157.0000000001528,2843,387,385,0
cluster,row_two_phase,default,1,2755780.423728916,235.395652227597,-1.0,3883,3,2,446,2.2300000000000018,3881,29101.84487754441,157.0000000001528,3049,417,415,0
cluster,row_two_phase,default,1,2755781.5507235,239.63356903531476,-1.0,4158,3,2,474,2.370000000000002,4157,31068.63371911959,157.0000000001528,3271,444,442,0
cluster,row_two_phase,default,1,2755782.699416916,218.38601632394256,-1.0,4404,3,0,503,2.5149999999999997,4403,32997.91550758846,157.0000000001528,3461,471,471,0
cluster,row_two_phase,default,1,2755783.836190666,222.02782298771046,-1.0,4659,3,0,532,2.659999999999997,4658,34684.62695972221,157.0000000001528,3662,498,498,0
cluster,row_two_phase,default,1,2755784.972244541,206.74715666873325,-1.0,4893,3,0,568,2.839999999999994,4893,36437.13961660114,157.0000000001528,3839,527,527,0
cluster,row_two_phase,default,1,2755786.127964625,235.83476209366114,-1.0,5161,3,0,583,2.914999999999993,5161,38420.84428718681,202.99999999997453,4053,554,554,0
cluster,row_two_phase,default,1,2755787.269896958,195.59969916167628,-1.0,5387,3,0,623,3.114999999999989,5387,40502.4949073827,202.99999999997453,4217,585,585,0
cluster,row_two_phase,default,1,2755788.434665541,224.0802290022163,-1.0,5643,3,3,650,3.2499999999999867,5643,42422.62815392405,202.99999999997453,4418,613,610,0
cluster,row_two_phase,default,1,2755789.5735295,223.99610483614424,-1.0,5905,3,3,678,3.3899999999999846,5904,44263.86004013966,202.99999999997453,4627,640,637,0
cluster,row_two_phase,default,1,2755790.717796458,230.9089225006861,-1.0,6169,3,3,708,3.539999999999982,6167,45957.67134795687,202.99999999997453,4834,668,665,0
cluster,row_two_phase,default,1,2755791.872084875,214.1201691719368,-1.0,6414,3,3,739,3.694999999999979,6412,48085.90198554112,202.99999999997453,5014,700,697,0
cluster,row_two_phase,default,1,2755793.012314083,213.2850812304225,-1.0,6660,3,3,772,3.8599999999999763,6658,50062.975115191424,202.99999999997453,5200,730,727,0
