experiment,config,param_value,rep,snapshot_id,logical_ts,success,skipped,retries,duration_ms,causal_consistent,causal_violation_count,conservation_holds,recovery_verified,recovery_conservation_holds,convergence_ms,drain_ms,finalize_ms,validation_ms,commit_ms,recovery_ms,balance_sum,in_transit_total,message_count,control_bytes,write_log_entries,write_log_bytes,dependency_tags_checked,delta_blocks
cluster,row_two_phase,default,1,1,116478845442064384,True,False,0,508.79312539473176,True,0,True,True,True,94.95704201981425,127.13454198092222,71.75520900636911,135.20808378234506,135.14987519010901,79.56266682595015,100000,0,24,6330,30,3763,0,
cluster,row_two_phase,default,1,2,116478845524705280,True,False,0,510.93462482094765,True,0,True,True,True,87.7321669831872,85.87937476113439,138.54891620576382,86.70187508687377,86.57849999144673,111.73879215493798,100000,0,24,7562,37,4651,0,
cluster,row_two_phase,default,1,3,116478845607477248,True,False,0,602.1695001982152,True,0,True,True,True,104.7442089766264,218.60604221001267,75.16137510538101,88.25783291831613,88.12004188075662,115.09929224848747,100000,0,24,7824,36,4521,0,
cluster,row_two_phase,default,1,4,116478845696212992,True,False,0,437.83679185435176,True,0,True,True,True,93.82616681978106,58.70645772665739,71.19425013661385,79.07083304598927,78.95204238593578,134.78050008416176,100000,0,24,8002,34,4270,0,
cluster,row_two_phase,default,1,5,116478845774200832,True,False,0,455.07937483489513,True,0,True,True,True,96.50141559541225,77.43120798841119,76.6532919369638,88.84458430111408,88.73108308762312,115.3038339689374,100000,0,24,8192,32,4021,0,
cluster,row_two_phase,default,1,6,116478845853302784,True,False,0,456.52620773762465,True,0,True,True,True,83.53629102930427,93.59129192307591,70.03533327952027,100.05291691049933,99.93149992078543,109.09445770084858,100000,0,24,8031,27,3386,0,
cluster,row_two_phase,default,1,7,116478845932470272,True,False,0,588.3541670627892,True,0,True,True,True,103.4766249358654,109.99358398839831,99.83233409002423,131.2167076393962,131.11033337190747,143.48429208621383,100000,0,24,9208,34,4268,0,
cluster,row_two_phase,default,1,8,116478846020288512,True,False,0,538.0811248905957,True,0,True,True,True,77.69516622647643,104.1569160297513,130.4005840793252,139.72070859745145,139.68558330088854,86.01004118099809,100000,0,24,9727,35,4394,0,
cluster,row_two_phase,default,1,9,116478846104764416,True,False,0,418.46445808187127,True,0,True,True,True,80.53195895627141,94.95612513273954,81.34579192847013,78.05245788767934,77.95716589316726,83.25449982658029,100000,0,24,9190,27,3385,0,
cluster,row_two_phase,default,1,10,116478846181441536,True,False,0,388.1497923284769,True,0,True,True,True,78.21245864033699,85.75820783153176,67.57287494838238,73.7013746984303,73.5889170318842,82.64745818451047,100000,0,24,9098,23,2888,0,
cluster,row_two_phase,default,1,11,116478846256218112,True,False,0,420.822583604604,True,0,True,True,True,95.47287505120039,70.78333385288715,75.6917498074472,78.23320897296071,78.12583399936557,100.41283397004008,100000,0,24,10440,32,4020,0,
cluster,row_two_phase,default,1,12,116478846333026304,True,False,0,381.0241250321269,True,0,True,True,True,86.0756253823638,70.70983294397593,75.92666707932949,63.06729186326265,62.96533299610019,85.02016635611653,100000,0,24,10033,25,3138,0,
cluster,row_two_phase,default,1,13,116478846407278592,True,False,0,532.5289578177035,True,0,True,True,True,101.69066675007343,200.78054117038846,73.08870879933238,77.72545795887709,77.60137459263206,78.89804104343057,100000,0,24,11962,39,4900,0,
cluster,row_two_phase,default,1,14,116478846491426816,True,False,0,398.1087082065642,True,0,True,True,True,74.34391602873802,113.4920408949256,65.5821249820292,60.514458920806646,60.41591614484787,83.95687490701675,100000,0,24,10571,23,2893,0,
cluster,row_two_phase,default,1,15,116478846566793216,True,False,0,424.57300005480647,True,0,True,True,True,95.4560418613255,89.65233294293284,81.1059158295393,63.06554190814495,62.962500378489494,95.04225011914968,100000,0,24,12378,36,4519,0,
cluster,row_two_phase,default,1,16,116478846643863552,True,False,0,472.6650002412498,True,0,True,True,True,81.86466712504625,92.47449971735477,76.43895922228694,81.18929108604789,81.05904189869761,140.30287507921457,100000,0,24,12093,30,3769,0,
