experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_baseline,default,1,2755862.614738375,192.77917141594438,-1.0,227,3,2,0,0.0,226,2645.8287164978174,94.00000000005093,127,50,48,0
cluster,row_baseline,default,1,2755863.770555666,165.7007279967297,-1.0,415,3,2,0,0.0,414,5053.749931935272,94.00000000005093,223,97,95,0
cluster,row_baseline,default,1,2755864.944245083,155.64623473529855,-1.0,595,3,2,0,0.0,594,7490.592477917289,96.4487912133336,311,143,141,0
cluster,row_baseline,default,1,2755866.13957775,160.10051121989798,-1.0,782,3,3,0,0.0,782,9906.16726598455,96.4487912133336,412,186,183,0
cluster,row_baseline,default,1,2755867.275891708,156.50214640723803,-1.0,971,3,3,0,0.0,969,12252.36151716399,142.11291586980224,516,228,225,0
cluster,row_baseline,default,1,2755868.406663833,151.48063511638298,-1.0,1144,3,3,0,0.0,1141,14750.083347383224,142.11291586980224,602,271,268,0
cluster,row_baseline,default,1,2755869.550598625,166.10194947093154,-1.0,1329,3,2,0,0.0,1329,17169.669315620467,142.11291586980224,708,311,309,0
cluster,row_baseline,default,1,2755870.702427791,174.07615356552932,-1.0,1530,3,2,0,0.0,1528,19402.04486317134,142.11291586980224,832,349,347,0
cluster,row_baseline,default,1,2755871.889562458,148.3941592262361,-1.0,1703,3,3,0,0.0,1699,21813.38573798803,142.11291586980224,916,393,390,0
cluster,row_baseline,default,1,2755873.026098,171.8783680459045,-1.0,1900,3,1,0,0.0,1903,24309.359449069234,142.11291586980224,1026,439,438,0
cluster,row_baseline,default,1,2755874.172289958,159.21381802998482,-1.0,2086,3,2,0,0.0,2084,26617.52348255277,142.11291586980224,1122,482,480,0
cluster,row_baseline,default,1,2755875.310451,174.4993422882817,-1.0,2287,3,2,0,0.0,2284,28987.51565684279,142.11291586980224,1234,526,524,0
cluster,row_baseline,default,1,2755876.442830666,162.53504886599578,-1.0,2471,3,3,0,0.0,2469,31623.71898334004,142.11291586980224,1333,570,567,0
cluster,row_baseline,default,1,2755877.607952125,165.2661209788626,-1.0,2658,3,3,0,0.0,2656,33906.80320012098,142.11291586980224,1435,612,609,0
cluster,row_baseline,default,1,2755878.757924916,149.34672075917263,-1.0,2834,3,3,0,0.0,2830,36398.2963209437,142.11291586980224,1526,653,650,0
cluster,row_baseline,default,1,2755879.890886958,163.37232938174057,-1.0,3019,3,3,0,0.0,3018,38592.51548904786,142.11291586980224,1632,694,691,0
cluster,row_baseline,default,1,2755881.034070958,174.7071347600783,-1.0,3218,3,2,0,0.0,3216,40789.46990341137,142.11291586980224,1749,735,733,0
cluster,row_baseline,default,1,2755882.172965875,151.36127814986096,-1.0,3390,3,3,0,0.0,3389,43272.96327273734,142.11291586980224,1828,782,779,0
cluster,row_baseline,default,1,2755883.307219208,159.78207013264057,-1.0,3572,3,3,0,0.0,3571,45589.67889314681,142.11291586980224,1927,823,820,0
cluster,row_baseline,default,1,2755884.447845166,157.9480518914231,-1.0,3751,3,3,0,0.0,3750,48011.8355218824,142.11291586980224,2010,871,868,0
cluster,row_baseline,default,1,2755885.581087375,159.45028202173825,-1.0,3932,3,2,0,0.0,3932,50365.097891231926,142.11291586980224,2101,916,914,0
cluster,row_baseline,default,1,2755886.731031,167.76369152063083,-1.0,4122,3,3,0,0.0,4122,52702.92447214387,142.11291586980224,2201,962,959,0
cluster,row_baseline,default,1,2755887.873654708,165.24562673020327,-1.0,4313,3,2,0,0.0,4312,55159.89893596771,142.11291586980224,2310,1001,999,0
cluster,row_baseline,default,1,2755889.01134825,171.42002549345645,-1.0,4510,3,3,0,0.0,4508,57330.892221303206,142.11291586980224,2417,1047,1044,0
cluster,row_baseline,default,1,2755890.160648875,161.72807032557492,-1.0,4692,3,1,0,0.0,4692,59936.57892229567,142.11291586980224,2511,1091,1090,0
cluster,row_baseline,default,1,2755891.295498916,161.08254437584154,-1.0,4877,3,2,0,0.0,4877,62384.226802984354,142.11291586980224,2617,1131,1129,0
