experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_pause_and_snap,default,1,2755893.223805458,156.80724471446416,-1.0,205,3,3,0,0.0,203,3260.849918466647,125.0,99,53,50,0
cluster,row_pause_and_snap,default,1,2755894.353137208,179.44578222975045,-1.0,408,3,2,123,0.6150000000000002,406,5332.20653389435,394.2909575998783,281,64,62,0
cluster,row_pause_and_snap,default,1,2755895.522349958,130.92889101676334,-1.0,555,3,2,123,0.6150000000000002,554,7690.5110680836515,394.2909575998783,366,95,93,0
cluster,row_pause_and_snap,default,1,2755896.672748666,204.43466413617296,-1.0,795,3,3,214,1.0700000000000007,793,9779.40155774013,394.2909575998783,578,109,106,0
cluster,row_pause_and_snap,default,1,2755897.809506541,176.5210162938396,-1.0,998,3,3,214,1.0700000000000007,996,11899.177224367577,394.2909575998783,701,149,146,0
cluster,row_pause_and_snap,default,1,2755898.935490041,199.7805128880468,-1.0,1225,3,3,306,1.530000000000001,1223,13995.941882953048,394.2909575998783,894,166,163,0
cluster,row_pause_and_snap,default,1,2755900.076624875,155.30933271324594,-1.0,1399,3,3,306,1.530000000000001,1398,16410.80192286927,394.2909575998783,984,209,206,0
cluster,row_pause_and_snap,default,1,2755901.205095875,205.16321581128162,-1.0,1633,3,3,395,1.9750000000000014,1632,18422.537252191887,394.2909575998783,1177,229,226,0
cluster,row_pause_and_snap,default,1,2755902.350273125,152.35940614265706,-1.0,1805,3,2,395,1.9750000000000014,1804,20770.400919877375,394.2909575998783,1257,275,273,0
cluster,row_pause_and_snap,default,1,2755903.484298208,205.2547396850143,-1.0,2042,3,3,486,2.430000000000002,2039,22792.2355889159,394.2909575998783,1453,295,292,0
cluster,row_pause_and_snap,default,1,2755904.625290041,168.33466341517655,-1.0,2233,3,3,486,2.430000000000002,2230,25116.830007091266,394.2909575998783,1557,338,335,0
cluster,row_pause_and_snap,default,1,2755905.789051,215.7607055226748,-1.0,2477,3,1,565,2.824999999999997,2476,27097.951843966257,394.2909575998783,1765,356,355,0
cluster,row_pause_and_snap,default,1,2755906.925944458,177.89310750660462,-1.0,2683,3,0,566,2.829999999999997,2683,29280.141886085858,394.2909575998783,1891,396,396,0
cluster,row_pause_and_snap,default,1,2755908.074473166,197.73891411672525,-1.0,2910,3,3,651,3.2549999999999897,2908,31202.044430368005,394.2909575998783,2073,419,416,0
cluster,row_pause_and_snap,default,1,2755909.225654333,159.4557882256466,-1.0,3091,3,0,695,3.4749999999999863,3091,33355.802007247345,394.2909575998783,2191,450,450,0
cluster,row_pause_and_snap,default,1,2755910.3758215,217.11563826484286,-1.0,3343,3,2,736,3.6799999999999824,3341,35762.372800712,394.2909575998783,2389,477,475,0
cluster,row_pause_and_snap,default,1,2755911.534262625,159.17340577093412,-1.0,3524,3,0,809,4.044999999999976,3524,37856.09464217396,394.2909575998783,2508,508,508,0
cluster,row_pause_and_snap,default,1,2755912.820268583,227.8700214098807,-1.0,3788,3,1,818,4.089999999999975,3788,40352.6107636435,394.2909575998783,2705,542,541,0
cluster,row_pause_and_snap,default,1,2755913.955530833,146.83912275900104,-1.0,3980,3,2,896,4.4799999999999685,3977,42590.17101685777,394.2909575998783,2869,555,553,0
cluster,row_pause_and_snap,default,1,2755915.097410791,192.10322807883722,-1.0,4196,3,2,896,4.4799999999999685,4195,44748.46263692962,394.2909575998783,3005,596,594,0
cluster,row_pause_and_snap,default,1,2755916.250370791,178.57101181894217,-1.0,4402,3,2,981,4.904999999999961,4399,46714.574046228336,394.2909575998783,3167,617,615,0
cluster,row_pause_and_snap,default,1,2755917.386058666,164.89411513273916,-1.0,4589,3,3,981,4.904999999999961,4589,49114.99467301746,394.2909575998783,3276,657,654,0
cluster,row_pause_and_snap,default,1,2755918.526624666,171.6475635367499,-1.0,4785,3,3,1102,5.509999999999949,4784,51275.47942698357,394.2909575998783,3436,675,672,0
cluster,row_pause_and_snap,default,1,2755919.652305041,174.59273585456452,-1.0,4983,3,3,1102,5.509999999999949,4983,53560.51994004838,394.2909575998783,3548,719,716,0
cluster,row_pause_and_snap,default,1,2755920.795229208,238.0797005369167,-1.0,5252,3,2,1183,5.9149999999999405,5251,55302.29397613948,394.2909575998783,3783,735,733,0
cluster,row_pause_and_snap,default,1,2755921.957199041,162.64293608290873,-1.0,5439,3,3,1183,5.9149999999999405,5437,57632.320093815,394.2909575998783,3880,780,777,0
