experiment,config,param_value,rep,snapshot_id,logical_ts,success,skipped,retries,duration_ms,causal_consistent,causal_violation_count,conservation_holds,recovery_verified,recovery_conservation_holds,convergence_ms,drain_ms,finalize_ms,validation_ms,commit_ms,recovery_ms,balance_sum,in_transit_total,message_count,control_bytes,write_log_entries,write_log_bytes,dependency_tags_checked,delta_blocks
cluster,row_pause_and_snap,default,1,1,116478853938348032,True,False,0,783.9785418473184,True,0,True,True,True,150.34670801833272,131.66862493380904,,0.05187513306736946,139.57620924338698,78.86449992656708,100000,0,39,4318,0,2,0,
cluster,row_pause_and_snap,default,1,2,116478854088097792,True,False,0,778.7611661478877,True,0,True,True,True,79.38975002616644,236.8182078935206,,0.05483301356434822,157.1000423282385,76.95787539705634,100000,0,39,4929,0,2,0,
cluster,row_pause_and_snap,default,1,3,116478854237585408,True,False,0,717.1906251460314,True,0,True,True,True,91.75141667947173,133.972458075732,,0.03879191353917122,180.05558289587498,82.55570894107223,100000,0,39,5681,0,2,0,
cluster,row_pause_and_snap,default,1,4,116478854382944256,True,False,0,673.9393747411668,True,0,True,True,True,88.00616674125195,119.55141695216298,,0.04070904105901718,153.20970863103867,81.33250009268522,100000,0,39,6481,0,2,0,
cluster,row_pause_and_snap,default,1,5,116478854525550592,True,False,0,642.6046248525381,True,0,True,True,True,100.21112486720085,122.28816607967019,,0.05466677248477936,146.03020902723074,78.57383415102959,100000,0,39,7294,0,2,0,
cluster,row_pause_and_snap,default,1,6,116478854665994240,True,False,0,672.1843327395618,True,0,True,True,True,86.06920810416341,120.28375035151839,,0.054208096116781235,67.24325008690357,137.07000017166138,100000,0,39,8035,0,2,0,
cluster,row_pause_and_snap,default,1,7,116478854808403968,True,False,0,662.0456669479609,True,0,True,True,True,105.47620942816138,108.60079200938344,,0.05683302879333496,64.98412508517504,88.37758330628276,100000,0,39,8760,0,2,0,
cluster,row_pause_and_snap,default,1,8,116478854950289408,True,False,0,700.2852498553693,True,0,True,True,True,88.94670894369483,80.08575020357966,,0.05658390000462532,94.2463749088347,145.91112500056624,100000,0,39,9443,0,2,0,
cluster,row_pause_and_snap,default,1,9,116478855094534144,True,False,0,633.350791875273,True,0,True,True,True,103.50770875811577,98.74583315104246,,0.06941612809896469,83.33133300766349,76.77887473255396,100000,0,39,10167,0,2,0,
cluster,row_pause_and_snap,default,1,10,116478855234453504,True,False,0,672.1296668983996,True,0,True,True,True,90.47233313322067,137.4455001205206,,0.03479188308119774,81.19974983856082,151.7781657166779,100000,0,39,10734,0,2,0,
cluster,row_pause_and_snap,default,1,11,116478855376928768,True,False,0,662.5522910617292,True,0,True,True,True,99.72116723656654,78.61704099923372,,0.036499928683042526,103.09058288112283,167.92829101905227,100000,0,39,11468,0,2,0,
cluster,row_pause_and_snap,default,1,12,116478855518748672,True,False,0,799.1157090291381,True,0,True,True,True,214.3100411631167,93.24029181152582,,0.09795790538191795,68.54816619306803,136.18779182434082,100000,0,39,12160,0,2,0,
cluster,row_pause_and_snap,default,1,13,116478855669547008,True,False,0,637.423041742295,True,0,True,True,True,78.49320815876126,87.95708324760199,,0.04116678610444069,84.42975021898746,85.83141723647714,100000,0,39,12902,0,2,0,
