experiment,config,param_value,rep,metric,value
cluster,row_speculative,default,1,snapshot_count,8
cluster,row_speculative,default,1,snapshot_committed,8
cluster,row_speculative,default,1,snapshot_skipped,0
cluster,row_speculative,default,1,snapshot_success_rate,1.0
cluster,row_speculative,default,1,avg_retry_rate,0.0
cluster,row_speculative,default,1,avg_latency_ms,473.2925571152009
cluster,row_speculative,default,1,p50_latency_ms,476.9146661274135
cluster,row_speculative,default,1,p99_latency_ms,566.0696248523891
cluster,row_speculative,default,1,max_latency_ms,566.0696248523891
cluster,row_speculative,default,1,avg_throughput_writes_sec,185.2256533864195
cluster,row_speculative,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_speculative,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_speculative,default,1,max_delta_blocks_at_discard,0.0
cluster,row_speculative,default,1,causal_consistency_rate,1.0
cluster,row_speculative,default,1,causal_checked_count,8.0
cluster,row_speculative,default,1,avg_causal_violation_count,0.0
cluster,row_speculative,default,1,conservation_validity_rate,1.0
cluster,row_speculative,default,1,conservation_checked_count,8.0
cluster,row_speculative,default,1,recovery_rate,1.0
cluster,row_speculative,default,1,recovery_checked_count,8.0
cluster,row_speculative,default,1,recovery_conservation_rate,1.0
cluster,row_speculative,default,1,avg_convergence_ms,102.29175019776449
cluster,row_speculative,default,1,avg_balance_sum,100000.0
cluster,row_speculative,default,1,avg_in_transit,0.0
cluster,row_speculative,default,1,avg_messages_per_snapshot,24.0
cluster,row_speculative,default,1,total_control_messages,192
cluster,row_speculative,default,1,avg_control_bytes_per_snapshot,13347.5
cluster,row_speculative,default,1,total_control_bytes,106780
cluster,row_speculative,default,1,avg_drain_ms,107.0591458119452
cluster,row_speculative,default,1,avg_finalize_ms,87.36566139850765
cluster,row_speculative,default,1,avg_validation_ms,81.26722910674289
cluster,row_speculative,default,1,avg_commit_ms,81.18246321100742
cluster,row_speculative,default,1,avg_recovery_ms,94.98543263180181
cluster,row_speculative,default,1,avg_write_log_entries,35.0
cluster,row_speculative,default,1,avg_write_log_bytes,4392.625
cluster,row_speculative,default,1,avg_dependency_tags_checked,0.0
cluster,row_speculative,default,1,max_pending_transfers,3
cluster,row_speculative,default,1,max_write_latency_ms,157.01920771971345
cluster,row_speculative,default,1,total_paused_retries,274.0
cluster,row_speculative,default,1,total_paused_wait_s,1.370000000000001
cluster,row_speculative,default,1,total_local_writes,3566.0
cluster,row_speculative,default,1,total_cross_transfers,1001.0
cluster,row_speculative,default,1,total_cross_transfers_completed,998.0
cluster,row_speculative,default,1,total_pending_retries,0.0
cluster,row_speculative,default,1,avg_write_latency_ms,10.452831187584525
