experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_speculative,default,1,2756119.006608375,182.74592209118134,-1.0,250,3,3,0,0.0,249,3082.8413649355753,110.00000000012733,139,56,53,0
cluster,row_speculative,default,1,2756120.165452041,169.3502921037535,-1.0,448,3,2,0,0.0,448,5541.724441457973,110.00000000012733,246,102,100,0
cluster,row_speculative,default,1,2756121.327672333,214.90805209864922,-1.0,697,3,0,52,0.26000000000000006,697,7494.933028835931,157.01920771971345,439,129,129,0
cluster,row_speculative,default,1,2756122.483730583,189.17888201246214,-1.0,918,3,3,52,0.26000000000000006,917,9679.677619990343,157.01920771971345,575,172,169,0
cluster,row_speculative,default,1,2756123.626344875,154.86096336906243,-1.0,1098,3,3,52,0.26000000000000006,1096,12022.2794925794,157.01920771971345,666,216,213,0
cluster,row_speculative,default,1,2756124.768797791,208.40966572884506,-1.0,1335,3,0,83,0.41500000000000015,1334,14089.109191842454,157.01920771971345,842,246,246,0
cluster,row_speculative,default,1,2756125.904262708,203.13189409383196,-1.0,1568,3,3,83,0.41500000000000015,1566,16291.29507050311,157.01920771971345,990,290,287,0
cluster,row_speculative,default,1,2756127.04567075,155.75004756362787,-1.0,1745,3,3,83,0.41500000000000015,1743,18698.98916014654,157.01920771971345,1081,332,329,0
cluster,row_speculative,default,1,2756128.199695875,207.72913043093092,-1.0,1980,3,0,110,0.5500000000000003,1980,20764.9144655461,157.01920771971345,1262,359,359,0
cluster,row_speculative,default,1,2756129.331134541,205.461215477013,-1.0,2218,3,3,110,0.5500000000000003,2217,22819.23825990725,157.01920771971345,1418,401,398,0
cluster,row_speculative,default,1,2756130.475545375,178.47490332623906,-1.0,2420,3,2,110,0.5500000000000003,2419,25211.573634117485,157.01920771971345,1534,443,441,0
cluster,row_speculative,default,1,2756131.620793791,195.7561265507037,-1.0,2645,3,0,136,0.6800000000000003,2643,27364.542513538254,157.01920771971345,1689,477,477,0
cluster,row_speculative,default,1,2756132.776035958,182.38337988153827,-1.0,2852,3,3,136,0.6800000000000003,2852,29700.360300835655,157.01920771971345,1814,520,517,0
cluster,row_speculative,default,1,2756133.937365875,143.7014299317219,-1.0,3019,3,2,136,0.6800000000000003,3018,32339.033719159943,157.01920771971345,1900,560,558,0
cluster,row_speculative,default,1,2756135.075521875,173.18484062663927,-1.0,3220,3,0,180,0.9000000000000005,3219,34384.021351587304,157.01920771971345,2057,581,581,0
cluster,row_speculative,default,1,2756136.210450541,206.32654989924134,-1.0,3455,3,3,180,0.9000000000000005,3454,36655.20110739408,157.01920771971345,2233,612,609,0
cluster,row_speculative,default,1,2756137.351792875,176.237171137006,-1.0,3655,3,2,180,0.9000000000000005,3654,38998.919351875884,157.01920771971345,2343,657,655,0
cluster,row_speculative,default,1,2756138.485882541,186.71857487975365,-1.0,3867,3,0,180,0.9000000000000005,3867,41143.23460425067,157.01920771971345,2475,696,696,0
cluster,row_speculative,default,1,2756139.631086583,193.02099833972377,-1.0,4086,3,3,210,1.0500000000000007,4086,43283.410888794606,157.01920771971345,2621,733,730,0
cluster,row_speculative,default,1,2756140.764252583,180.8390472265531,-1.0,4294,3,3,210,1.0500000000000007,4293,45637.16197462373,157.01920771971345,2745,776,773,0
cluster,row_speculative,default,1,2756141.95080025,185.3575753894827,-1.0,4503,3,0,215,1.0750000000000006,4503,47656.79309989446,157.01920771971345,2883,810,810,0
cluster,row_speculative,default,1,2756143.090049458,198.71775819787229,-1.0,4741,3,3,243,1.2150000000000007,4739,49853.51879876043,157.01920771971345,3048,847,844,0
cluster,row_speculative,default,1,2756144.22662575,149.25199510717593,-1.0,4911,3,3,243,1.2150000000000007,4909,52474.72942145123,157.01920771971345,3120,895,892,0
cluster,row_speculative,default,1,2756145.375374375,191.9286236269587,-1.0,5128,3,0,250,1.2500000000000009,5127,54468.47250031624,157.01920771971345,3269,929,929,0
cluster,row_speculative,default,1,2756146.514662541,226.28971540992114,-1.0,5386,3,2,274,1.370000000000001,5387,56473.96175654148,157.01920771971345,3470,960,958,0
cluster,row_speculative,default,1,2756147.65765175,156.15223354701885,-1.0,5565,3,3,274,1.370000000000001,5565,58650.09195813491,157.01920771971345,3566,1001,998,0
