experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_baseline,default,1,2756198.110073458,166.83663923326355,-1.0,210,3,2,0,0.0,208,2155.8015054388306,125.0,136,37,35,0
cluster,row_baseline,default,1,2756199.274202541,166.74478837116706,-1.0,400,3,1,0,0.0,397,3908.336960997076,125.0,266,66,65,0
cluster,row_baseline,default,1,2756200.449132416,161.47127254426326,-1.0,585,3,2,0,0.0,585,5595.135670024774,125.0,393,97,95,0
cluster,row_baseline,default,1,2756201.601680708,162.6184175086645,-1.0,779,3,0,0,0.0,776,7225.06975419401,125.0,524,126,126,0
cluster,row_baseline,default,1,2756202.737137291,156.2261435229393,-1.0,955,3,2,0,0.0,956,8961.999097014996,125.0,643,157,155,0
cluster,row_baseline,default,1,2756203.860654041,156.72483244139542,-1.0,1136,3,2,0,0.0,1134,10584.438683516055,125.0,764,186,184,0
cluster,row_baseline,default,1,2756205.015528375,166.32525149814538,-1.0,1323,3,3,0,0.0,1321,12244.81158297749,125.0,896,214,211,0
cluster,row_baseline,default,1,2756206.201155375,156.83466064245903,-1.0,1503,3,3,0,0.0,1502,13733.781325894142,125.0,1022,242,239,0
cluster,row_baseline,default,1,2756207.351808916,152.62711529374198,-1.0,1685,3,2,0,0.0,1683,15548.949658724723,125.38904184475541,1140,273,271,0
cluster,row_baseline,default,1,2756208.479343791,157.23277272686008,-1.0,1866,3,3,0,0.0,1864,17194.32774578354,125.38904184475541,1263,302,299,0
cluster,row_baseline,default,1,2756209.630955541,155.29539543242484,-1.0,2040,3,1,0,0.0,2039,19052.609159946314,125.38904184475541,1374,333,332,0
cluster,row_baseline,default,1,2756210.776348208,159.66026501358797,-1.0,2224,3,2,0,0.0,2223,20721.910776611367,125.38904184475541,1499,363,361,0
cluster,row_baseline,default,1,2756211.909632416,153.69307652539024,-1.0,2400,3,2,0,0.0,2399,22547.502028412964,125.38904184475541,1611,395,393,0
cluster,row_baseline,default,1,2756213.042761083,153.50956274615984,-1.0,2576,3,3,0,0.0,2573,24307.751025784455,125.38904184475541,1722,427,424,0
cluster,row_baseline,default,1,2756214.176067333,173.96799323791336,-1.0,2770,3,1,0,0.0,2770,25941.286147352002,125.38904184475541,1861,455,454,0
cluster,row_baseline,default,1,2756215.330391166,167.5404119296774,-1.0,2962,3,3,0,0.0,2960,27801.765672094916,125.38904184475541,1985,489,486,0
cluster,row_baseline,default,1,2756216.476978333,148.2125008102666,-1.0,3130,3,2,0,0.0,3131,29688.765507053176,125.38904184475541,2090,522,520,0
cluster,row_baseline,default,1,2756217.612946833,158.81028994055865,-1.0,3313,3,1,0,0.0,3313,31557.79930477911,125.38904184475541,2211,552,551,0
cluster,row_baseline,default,1,2756218.7448165,165.35649497329098,-1.0,3502,3,2,0,0.0,3501,33134.67188744926,125.38904184475541,2341,581,579,0
cluster,row_baseline,default,1,2756219.888774791,159.0385648066309,-1.0,3682,3,1,0,0.0,3681,34777.793635672875,125.38904184475541,2462,610,609,0
cluster,row_baseline,default,1,2756221.022835958,164.4840450601795,-1.0,3868,3,2,0,0.0,3869,36604.838958232445,125.38904184475541,2590,640,638,0
cluster,row_baseline,default,1,2756222.170134083,163.9071106769453,-1.0,4055,3,2,0,0.0,4055,38235.68470438068,125.38904184475541,2719,669,667,0
cluster,row_baseline,default,1,2756223.29838075,150.81139588641705,-1.0,4228,3,2,0,0.0,4228,40050.53316602698,125.38904184475541,2826,702,700,0
cluster,row_baseline,default,1,2756224.440969416,163.57588678084178,-1.0,4415,3,3,0,0.0,4413,41801.40290866257,125.38904184475541,2948,734,731,0
cluster,row_baseline,default,1,2756225.567623833,173.7239143675083,-1.0,4611,3,1,0,0.0,4611,43492.511534003825,125.38904184475541,3089,762,761,0
cluster,row_baseline,default,1,2756226.712358416,151.6538639505853,-1.0,4782,3,2,0,0.0,4782,45314.97460729815,125.38904184475541,3192,796,794,0
