experiment,config,param_value,rep,metric,value
cluster,row_pause_and_snap,default,1,snapshot_count,14
cluster,row_pause_and_snap,default,1,snapshot_committed,14
cluster,row_pause_and_snap,default,1,snapshot_skipped,0
cluster,row_pause_and_snap,default,1,snapshot_success_rate,1.0
cluster,row_pause_and_snap,default,1,avg_retry_rate,0.0
cluster,row_pause_and_snap,default,1,avg_latency_ms,616.2510950650487
cluster,row_pause_and_snap,default,1,p50_latency_ms,627.1176249720156
cluster,row_pause_and_snap,default,1,p99_latency_ms,720.0416657142341
cluster,row_pause_and_snap,default,1,max_latency_ms,720.0416657142341
cluster,row_pause_and_snap,default,1,avg_throughput_writes_sec,150.23010333149136
cluster,row_pause_and_snap,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_pause_and_snap,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_pause_and_snap,default,1,max_delta_blocks_at_discard,0.0
cluster,row_pause_and_snap,default,1,causal_consistency_rate,1.0
cluster,row_pause_and_snap,default,1,causal_checked_count,14.0
cluster,row_pause_and_snap,default,1,avg_causal_violation_count,0.0
cluster,row_pause_and_snap,default,1,conservation_validity_rate,1.0
cluster,row_pause_and_snap,default,1,conservation_checked_count,14.0
cluster,row_pause_and_snap,default,1,recovery_rate,1.0
cluster,row_pause_and_snap,default,1,recovery_checked_count,14.0
cluster,row_pause_and_snap,default,1,recovery_conservation_rate,1.0
cluster,row_pause_and_snap,default,1,avg_convergence_ms,103.20901198844824
cluster,row_pause_and_snap,default,1,avg_balance_sum,100000.0
cluster,row_pause_and_snap,default,1,avg_in_transit,0.0
cluster,row_pause_and_snap,default,1,avg_messages_per_snapshot,39.0
cluster,row_pause_and_snap,default,1,total_control_messages,546
cluster,row_pause_and_snap,default,1,avg_control_bytes_per_snapshot,7631.357142857143
cluster,row_pause_and_snap,default,1,total_control_bytes,106839
cluster,row_pause_and_snap,default,1,avg_drain_ms,96.89749404788017
cluster,row_pause_and_snap,default,1,avg_finalize_ms,0.0
cluster,row_pause_and_snap,default,1,avg_validation_ms,0.04847324453294277
cluster,row_pause_and_snap,default,1,avg_commit_ms,85.6707113063229
cluster,row_pause_and_snap,default,1,avg_recovery_ms,92.87201177461871
cluster,row_pause_and_snap,default,1,avg_write_log_entries,0.0
cluster,row_pause_and_snap,default,1,avg_write_log_bytes,2.0
cluster,row_pause_and_snap,default,1,avg_dependency_tags_checked,0.0
cluster,row_pause_and_snap,default,1,max_pending_transfers,3
cluster,row_pause_and_snap,default,1,max_write_latency_ms,407.0000000001528
cluster,row_pause_and_snap,default,1,total_paused_retries,1278.0
cluster,row_pause_and_snap,default,1,total_paused_wait_s,6.38999999999993
cluster,row_pause_and_snap,default,1,total_local_writes,3443.0
cluster,row_pause_and_snap,default,1,total_cross_transfers,611.0
cluster,row_pause_and_snap,default,1,total_cross_transfers_completed,610.0
cluster,row_pause_and_snap,default,1,total_pending_retries,0.0
cluster,row_pause_and_snap,default,1,avg_write_latency_ms,10.518231505418697
