experiment,config,param_value,rep,metric,value
cluster,row_baseline,default,1,snapshot_count,0
cluster,row_baseline,default,1,snapshot_committed,0
cluster,row_baseline,default,1,snapshot_skipped,0
cluster,row_baseline,default,1,snapshot_success_rate,0.0
cluster,row_baseline,default,1,avg_retry_rate,0.0
cluster,row_baseline,default,1,avg_latency_ms,0.0
cluster,row_baseline,default,1,p50_latency_ms,0.0
cluster,row_baseline,default,1,p99_latency_ms,0.0
cluster,row_baseline,default,1,max_latency_ms,0.0
cluster,row_baseline,default,1,avg_throughput_writes_sec,188.57220056297862
cluster,row_baseline,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_baseline,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_baseline,default,1,max_delta_blocks_at_discard,0.0
cluster,row_baseline,default,1,causal_consistency_rate,N/A
cluster,row_baseline,default,1,causal_checked_count,0.0
cluster,row_baseline,default,1,avg_causal_violation_count,0.0
cluster,row_baseline,default,1,conservation_validity_rate,N/A
cluster,row_baseline,default,1,conservation_checked_count,0.0
cluster,row_baseline,default,1,recovery_rate,N/A
cluster,row_baseline,default,1,recovery_checked_count,0.0
cluster,row_baseline,default,1,recovery_conservation_rate,N/A
cluster,row_baseline,default,1,avg_convergence_ms,0.0
cluster,row_baseline,default,1,avg_balance_sum,0.0
cluster,row_baseline,default,1,avg_in_transit,0.0
cluster,row_baseline,default,1,avg_messages_per_snapshot,0.0
cluster,row_baseline,default,1,total_control_messages,0.0
cluster,row_baseline,default,1,avg_control_bytes_per_snapshot,0.0
cluster,row_baseline,default,1,total_control_bytes,0.0
cluster,row_baseline,default,1,avg_drain_ms,0.0
cluster,row_baseline,default,1,avg_finalize_ms,0.0
cluster,row_baseline,default,1,avg_validation_ms,0.0
cluster,row_baseline,default,1,avg_commit_ms,0.0
cluster,row_baseline,default,1,avg_recovery_ms,0.0
cluster,row_baseline,default,1,avg_write_log_entries,0.0
cluster,row_baseline,default,1,avg_write_log_bytes,0.0
cluster,row_baseline,default,1,avg_dependency_tags_checked,0.0
cluster,row_baseline,default,1,max_pending_transfers,3
cluster,row_baseline,default,1,max_write_latency_ms,144.15370859205723
cluster,row_baseline,default,1,total_paused_retries,0.0
cluster,row_baseline,default,1,total_paused_wait_s,0.0
cluster,row_baseline,default,1,total_local_writes,3768.0
cluster,row_baseline,default,1,total_cross_transfers,925.0
cluster,row_baseline,default,1,total_cross_transfers_completed,924.0
cluster,row_baseline,default,1,total_pending_retries,0.0
cluster,row_baseline,default,1,avg_write_latency_ms,9.847936160172134
