experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_pause_and_snap,default,1,2756406.925414458,227.86370898266568,-1.0,293,3,1,0,0.0,291,2524.7541157232263,101.45637486129999,199,47,46,0
cluster,row_pause_and_snap,default,1,2756408.072648333,209.4673622697779,-1.0,531,3,3,77,0.3850000000000001,530,4493.925114456488,233.9999999999236,400,67,64,0
cluster,row_pause_and_snap,default,1,2756409.213141125,191.90774481014657,-1.0,753,3,3,77,0.3850000000000001,750,6716.74604089867,233.9999999999236,547,103,100,0
cluster,row_pause_and_snap,default,1,2756410.362258333,208.49982844776562,-1.0,989,3,3,158,0.7900000000000004,988,8687.415161750778,233.9999999999236,739,126,123,0
cluster,row_pause_and_snap,default,1,2756411.570920291,194.2032435604194,-1.0,1211,3,0,182,0.9100000000000005,1211,10542.154566458976,233.9999999999236,897,157,157,0
cluster,row_pause_and_snap,default,1,2756412.736133625,176.20448108802887,-1.0,1426,3,3,244,1.2200000000000009,1424,13228.330983053638,250.0,1048,190,187,0
cluster,row_pause_and_snap,default,1,2756413.874923916,171.68531456666298,-1.0,1624,3,0,336,1.680000000000001,1624,15700.754103626878,266.0000000000764,1186,219,219,0
cluster,row_pause_and_snap,default,1,2756415.0442725,230.85097217422015,-1.0,1889,3,2,336,1.680000000000001,1887,17462.44385405589,266.0000000000764,1388,251,249,0
cluster,row_pause_and_snap,default,1,2756416.187233625,213.80884418090596,-1.0,2139,3,0,423,2.1150000000000015,2137,19461.118225548034,268.0094577372074,1599,269,269,0
cluster,row_pause_and_snap,default,1,2756417.352219166,203.75785291872126,-1.0,2371,3,3,423,2.1150000000000015,2370,21555.13584579512,268.0094577372074,1760,307,304,0
cluster,row_pause_and_snap,default,1,2756418.500168708,205.97622141799044,-1.0,2613,3,2,507,2.535,2610,23404.82763176442,268.0094577372074,1966,323,321,0
cluster,row_pause_and_snap,default,1,2756419.645889166,208.3068228424782,-1.0,2850,3,2,507,2.535,2849,25420.417304199418,268.0094577372074,2132,360,358,0
cluster,row_pause_and_snap,default,1,2756420.783594375,218.07707769968928,-1.0,3100,3,2,594,2.9699999999999926,3099,27359.944301191717,268.0094577372074,2344,378,376,0
cluster,row_pause_and_snap,default,1,2756421.915288875,212.05826970275143,-1.0,3342,3,2,594,2.9699999999999926,3340,29261.174922179634,268.0094577372074,2513,414,412,0
cluster,row_pause_and_snap,default,1,2756423.051211541,196.11127686174552,-1.0,3563,3,2,670,3.3499999999999863,3562,31260.31971194243,268.0094577372074,2688,438,436,0
cluster,row_pause_and_snap,default,1,2756424.201696833,220.12057607138337,-1.0,3813,3,0,670,3.3499999999999863,3812,33083.645628348226,268.0094577372074,2874,469,469,0
cluster,row_pause_and_snap,default,1,2756425.331864166,211.24035575908732,-1.0,4056,3,2,747,3.73499999999998,4055,35044.251589063606,268.0094577372074,3073,492,490,0
cluster,row_pause_and_snap,default,1,2756426.476290208,196.44352414278825,-1.0,4277,3,0,779,3.8949999999999774,4277,37017.448671023885,268.0094577372074,3229,524,524,0
cluster,row_pause_and_snap,default,1,2756427.630556125,193.90294613981794,-1.0,4498,3,2,828,4.139999999999972,4499,39322.237962375766,268.0094577372074,3395,553,551,0
cluster,row_pause_and_snap,default,1,2756428.784098875,207.04447900680572,-1.0,4738,3,0,902,4.509999999999966,4738,40710.54241516367,268.0094577372074,3586,576,576,0
cluster,row_pause_and_snap,default,1,2756429.924452583,244.37016182138632,-1.0,5020,3,2,915,4.5749999999999655,5020,42999.19324633038,268.0094577372074,3817,602,600,0
cluster,row_pause_and_snap,default,1,2756431.068175416,193.95775516411553,-1.0,5241,3,0,1019,5.094999999999956,5241,45138.19095824192,303.18091716617346,4001,620,620,0
cluster,row_pause_and_snap,default,1,2756432.232513125,194.8193202508647,-1.0,5466,3,2,1019,5.094999999999956,5464,47089.597250181214,303.18091716617346,4162,652,650,0
cluster,row_pause_and_snap,default,1,2756433.387239708,216.41562631944575,-1.0,5718,3,2,1104,5.519999999999949,5716,48962.13324344444,303.18091716617346,4380,669,667,0
cluster,row_pause_and_snap,default,1,2756434.529995125,245.32392802649179,-1.0,5997,3,2,1104,5.519999999999949,5999,50658.06107356321,303.18091716617346,4602,700,698,0
cluster,row_pause_and_snap,default,1,2756435.691299833,218.55456101885366,-1.0,6249,3,3,1180,5.899999999999941,6249,52533.05177972379,303.18091716617346,4806,723,720,0
cluster,row_pause_and_snap,default,1,2756436.830128333,222.24760224157095,-1.0,6508,3,3,1180,5.899999999999941,6507,54274.22824613268,303.18091716617346,5002,754,751,0
