experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_speculative,default,1,2756470.72839975,202.948620106005,-1.0,280,3,2,0,0.0,278,2942.2996950152083,94.00000000005093,176,52,50,0
cluster,row_speculative,default,1,2756471.877806291,243.80703810024002,-1.0,558,3,3,29,0.145,556,4554.191689014715,94.00000000005093,410,75,72,0
cluster,row_speculative,default,1,2756473.008281875,182.78005864723247,-1.0,769,3,1,29,0.145,766,6493.59673013214,94.00000000005093,553,107,106,0
cluster,row_speculative,default,1,2756474.135309541,241.57598666000789,-1.0,1038,3,2,56,0.2800000000000001,1039,8255.831645425587,94.00000000005093,773,134,132,0
cluster,row_speculative,default,1,2756475.287436458,245.50425867736473,-1.0,1318,3,2,82,0.41000000000000014,1316,10068.081971332049,108.9999999999236,1006,156,154,0
cluster,row_speculative,default,1,2756476.436412625,201.57705094275474,-1.0,1547,3,1,82,0.41000000000000014,1548,12171.692849929968,108.9999999999236,1170,189,188,0
cluster,row_speculative,default,1,2756477.592568083,229.69836753475516,-1.0,1815,3,2,126,0.6300000000000002,1812,13939.28652340901,172.00000000002547,1399,207,205,0
cluster,row_speculative,default,1,2756478.735519625,136.55479734792203,-1.0,1973,3,3,126,0.6300000000000002,1970,16304.312360800395,172.00000000002547,1493,240,237,0
cluster,row_speculative,default,1,2756479.885920375,233.71599822086674,-1.0,2238,3,3,168,0.8400000000000004,2237,17986.874097313375,172.00000000002547,1725,257,254,0
cluster,row_speculative,default,1,2756481.045833916,187.71118188485454,-1.0,2453,3,0,181,0.9050000000000005,2453,19938.65992225301,172.00000000002547,1875,289,289,0
cluster,row_speculative,default,1,2756482.191488333,223.51226776669827,-1.0,2715,3,3,199,0.9950000000000006,2715,21937.628679189856,172.00000000002547,2068,324,321,0
cluster,row_speculative,default,1,2756483.325020958,265.67226387752766,-1.0,3017,3,3,229,1.1450000000000007,3016,23447.088128551968,172.00000000002547,2331,344,341,0
cluster,row_speculative,default,1,2756484.481684666,221.35676046239752,-1.0,3268,3,3,229,1.1450000000000007,3267,25221.543383416247,172.00000000002547,2519,376,373,0
cluster,row_speculative,default,1,2756485.612654708,247.49184639472134,-1.0,3553,3,1,261,1.3050000000000008,3553,26886.287794046893,172.00000000002547,2758,398,397,0
cluster,row_speculative,default,1,2756486.7604315,186.42732504211426,-1.0,3765,3,1,261,1.3050000000000008,3764,29111.61913102569,172.00000000002547,2893,436,435,0
cluster,row_speculative,default,1,2756487.910198041,223.17189749452396,-1.0,4021,3,3,287,1.435000000000001,4020,31091.657740593746,172.00000000002547,3098,462,459,0
cluster,row_speculative,default,1,2756489.071413333,220.02367646961847,-1.0,4274,3,0,338,1.6900000000000013,4273,32921.254069224684,172.00000000002547,3305,484,484,0
cluster,row_speculative,default,1,2756490.199617583,203.1046539970637,-1.0,4510,3,3,338,1.6900000000000013,4509,34967.68994109743,172.00000000002547,3470,521,518,0
cluster,row_speculative,default,1,2756491.335103833,252.79720658809092,-1.0,4795,3,2,368,1.8400000000000014,4794,36604.897560510835,172.00000000002547,3715,541,539,0
cluster,row_speculative,default,1,2756492.47097925,172.57353142928056,-1.0,4991,3,1,368,1.8400000000000014,4990,38779.12888456149,172.00000000002547,3827,582,581,0
cluster,row_speculative,default,1,2756493.615284458,252.52763171066405,-1.0,5280,3,1,396,1.9800000000000013,5277,40492.44773641977,172.00000000002547,4066,606,605,0
cluster,row_speculative,default,1,2756494.747322333,229.1676643934312,-1.0,5539,3,0,418,2.0900000000000016,5539,42242.971702895826,172.00000000002547,4273,633,633,0
cluster,row_speculative,default,1,2756495.882024166,242.87201914174557,-1.0,5815,3,3,423,2.1150000000000015,5814,43835.81482343743,172.00000000002547,4494,662,659,0
cluster,row_speculative,default,1,2756497.030283833,231.61851834420864,-1.0,6078,3,3,452,2.2600000000000016,6077,45530.83425306886,172.00000000002547,4712,684,681,0
cluster,row_speculative,default,1,2756498.182226666,182.8853561729256,-1.0,6287,3,2,452,2.2600000000000016,6287,47743.592700388945,172.00000000002547,4843,723,721,0
cluster,row_speculative,default,1,2756499.324106541,263.011453686963,-1.0,6591,3,3,481,2.4050000000000007,6590,49337.33023784726,172.00000000002547,5101,746,743,0
cluster,row_speculative,default,1,2756500.46126175,200.63967398436975,-1.0,6819,3,3,481,2.4050000000000007,6819,51398.95774151864,172.00000000002547,5259,782,779,0
