experiment,config,param_value,rep,metric,value
cluster,row_two_phase,default,1,snapshot_count,15
cluster,row_two_phase,default,1,snapshot_committed,15
cluster,row_two_phase,default,1,snapshot_skipped,0
cluster,row_two_phase,default,1,snapshot_success_rate,1.0
cluster,row_two_phase,default,1,avg_retry_rate,0.0
cluster,row_two_phase,default,1,avg_latency_ms,474.57000287249684
cluster,row_two_phase,default,1,p50_latency_ms,491.99241679161787
cluster,row_two_phase,default,1,p99_latency_ms,561.8357500061393
cluster,row_two_phase,default,1,max_latency_ms,561.8357500061393
cluster,row_two_phase,default,1,avg_throughput_writes_sec,224.26250543695363
cluster,row_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_two_phase,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,max_delta_blocks_at_discard,0.0
cluster,row_two_phase,default,1,causal_consistency_rate,1.0
cluster,row_two_phase,default,1,causal_checked_count,15.0
cluster,row_two_phase,default,1,avg_causal_violation_count,0.0
cluster,row_two_phase,default,1,conservation_validity_rate,1.0
cluster,row_two_phase,default,1,conservation_checked_count,15.0
cluster,row_two_phase,default,1,recovery_rate,1.0
cluster,row_two_phase,default,1,recovery_checked_count,15.0
cluster,row_two_phase,default,1,recovery_conservation_rate,1.0
cluster,row_two_phase,default,1,avg_convergence_ms,101.64435285453995
cluster,row_two_phase,default,1,avg_balance_sum,100000.0
cluster,row_two_phase,default,1,avg_in_transit,0.0
cluster,row_two_phase,default,1,avg_messages_per_snapshot,24.0
cluster,row_two_phase,default,1,total_control_messages,360
cluster,row_two_phase,default,1,avg_control_bytes_per_snapshot,11623.466666666667
cluster,row_two_phase,default,1,total_control_bytes,174352
cluster,row_two_phase,default,1,avg_drain_ms,99.8896640104552
cluster,row_two_phase,default,1,avg_finalize_ms,89.2293890317281
cluster,row_two_phase,default,1,avg_validation_ms,88.17092515528202
cluster,row_two_phase,default,1,avg_commit_ms,88.02230299140017
cluster,row_two_phase,default,1,avg_recovery_ms,95.29211676369111
cluster,row_two_phase,default,1,avg_write_log_entries,34.8
cluster,row_two_phase,default,1,avg_write_log_bytes,4369.0
cluster,row_two_phase,default,1,avg_dependency_tags_checked,0.0
cluster,row_two_phase,default,1,max_pending_transfers,3
cluster,row_two_phase,default,1,max_write_latency_ms,186.99999999989814
cluster,row_two_phase,default,1,total_paused_retries,500.0
cluster,row_two_phase,default,1,total_paused_wait_s,2.5
cluster,row_two_phase,default,1,total_local_writes,5413.0
cluster,row_two_phase,default,1,total_cross_transfers,783.0
cluster,row_two_phase,default,1,total_cross_transfers_completed,781.0
cluster,row_two_phase,default,1,total_pending_retries,0.0
cluster,row_two_phase,default,1,avg_write_latency_ms,7.260520755177032
