experiment,config,param_value,rep,timestamp,writes_per_sec,coordinator_cpu_pct,total_writes,workload_running_nodes,pending_transfers,paused_retry_count,paused_wait_s,write_latency_count,write_latency_sum_ms,write_latency_max_ms,local_write_count,cross_transfer_count,cross_transfer_completed,pending_retry_count
cluster,row_two_phase,default,1,2756438.845501416,221.8721925852023,-1.0,300,3,2,0,0.0,298,2582.769883126275,86.68520906940103,204,48,46,0
cluster,row_two_phase,default,1,2756439.984344416,256.23793835204646,-1.0,590,3,2,30,0.14999999999999997,590,4212.261128564478,94.00000000005093,457,68,66,0
cluster,row_two_phase,default,1,2756441.136195333,190.69550918441632,-1.0,808,3,2,30,0.14999999999999997,807,6416.693297800975,94.00000000005093,591,109,107,0
cluster,row_two_phase,default,1,2756442.315755625,229.77011441439876,-1.0,1073,3,2,64,0.32000000000000006,1072,8313.07547040069,98.92950020730495,810,132,130,0
cluster,row_two_phase,default,1,2756443.459586041,212.15656398020045,-1.0,1323,3,0,100,0.5000000000000002,1322,10438.132675835732,108.9999999999236,1006,158,158,0
cluster,row_two_phase,default,1,2756444.629996083,205.2566893233789,-1.0,1558,3,3,100,0.5000000000000002,1557,12494.705587884255,108.9999999999236,1176,192,189,0
cluster,row_two_phase,default,1,2756445.771135,243.67827652532446,-1.0,1842,3,2,156,0.7800000000000004,1842,14256.193374959366,178.05879190564156,1418,213,211,0
cluster,row_two_phase,default,1,2756446.925163166,200.63912479151006,-1.0,2072,3,3,156,0.7800000000000004,2071,16259.714206980334,178.05879190564156,1578,248,245,0
cluster,row_two_phase,default,1,2756448.060180583,274.0143655025797,-1.0,2388,3,1,184,0.9200000000000005,2387,17817.874534388466,178.05879190564156,1854,267,266,0
cluster,row_two_phase,default,1,2756449.199169,186.6515389783791,-1.0,2600,3,0,184,0.9200000000000005,2599,19917.85344407799,178.05879190564156,1999,300,300,0
cluster,row_two_phase,default,1,2756450.32638525,224.71446556816016,-1.0,2856,3,3,214,1.0700000000000007,2855,21678.441703145836,178.05879190564156,2205,326,323,0
cluster,row_two_phase,default,1,2756451.462570791,260.5713070438456,-1.0,3150,3,0,242,1.2100000000000009,3149,23237.308287443284,178.05879190564156,2459,345,345,0
cluster,row_two_phase,default,1,2756452.621137666,188.46585316953917,-1.0,3366,3,2,242,1.2100000000000009,3363,25359.22908773773,178.05879190564156,2599,383,381,0
cluster,row_two_phase,default,1,2756453.7653565,249.74024095800692,-1.0,3652,3,2,268,1.3400000000000007,3652,27009.53889654329,178.05879190564156,2840,407,405,0
cluster,row_two_phase,default,1,2756454.912390083,201.86891874898626,-1.0,3884,3,2,268,1.3400000000000007,3883,29140.67435453171,178.05879190564156,2991,447,445,0
cluster,row_two_phase,default,1,2756456.054929708,269.40039765734366,-1.0,4191,3,3,294,1.470000000000001,4192,30606.24897956177,178.05879190564156,3265,465,462,0
cluster,row_two_phase,default,1,2756457.190861416,218.81073595458892,-1.0,4443,3,0,318,1.5900000000000012,4442,32355.750481580344,178.05879190564156,3454,494,494,0
cluster,row_two_phase,default,1,2756458.332921583,243.78595190977535,-1.0,4719,3,0,332,1.6600000000000013,4719,34212.39146820517,186.99999999989814,3679,520,520,0
cluster,row_two_phase,default,1,2756459.462246708,246.77574426397507,-1.0,5001,3,1,360,1.8000000000000012,5001,35795.014925749,186.99999999989814,3914,544,543,0
cluster,row_two_phase,default,1,2756460.606222791,200.12439151146089,-1.0,5228,3,3,360,1.8000000000000012,5227,37647.17753381729,186.99999999989814,4071,579,576,0
cluster,row_two_phase,default,1,2756461.754260375,249.24058145631238,-1.0,5512,3,1,389,1.9450000000000014,5512,39455.37603991943,186.99999999989814,4303,605,604,0
cluster,row_two_phase,default,1,2756462.881414666,194.15660446570536,-1.0,5736,3,1,389,1.9450000000000014,5735,41473.30781854043,186.99999999989814,4454,641,640,0
cluster,row_two_phase,default,1,2756464.035909125,218.2707154805745,-1.0,5982,3,2,417,2.0850000000000017,5981,43250.28699508039,186.99999999989814,4645,669,667,0
cluster,row_two_phase,default,1,2756465.181358666,233.1891264962739,-1.0,6250,3,0,449,2.245000000000002,6250,45148.90648309256,186.99999999989814,4862,694,694,0
cluster,row_two_phase,default,1,2756466.331011583,211.02546265667382,-1.0,6495,3,3,449,2.245000000000002,6492,47017.45110338288,186.99999999989814,5047,724,721,0
cluster,row_two_phase,default,1,2756467.462370791,244.61281453570294,-1.0,6774,3,3,500,2.5,6773,48778.89510521754,186.99999999989814,5287,745,742,0
cluster,row_two_phase,default,1,2756468.604174875,179.3620212833866,-1.0,6978,3,2,500,2.5,6976,51068.527486198494,186.99999999989814,5413,783,781,0
