experiment,config,param_value,rep,snapshot_id,logical_ts,success,skipped,retries,duration_ms,causal_consistent,causal_violation_count,conservation_holds,recovery_verified,recovery_conservation_holds,convergence_ms,drain_ms,finalize_ms,validation_ms,commit_ms,recovery_ms,balance_sum,in_transit_total,message_count,control_bytes,write_log_entries,write_log_bytes,dependency_tags_checked,delta_blocks
cluster,row_two_phase,default,1,1,116478889695576064,True,False,0,515.6736252829432,True,0,True,True,True,107.31845907866955,128.73512506484985,88.35379220545292,90.3084590099752,90.1787499897182,100.6995839998126,100000,0,24,7367,37,4648,0,
cluster,row_two_phase,default,1,2,116478889827827712,True,False,0,393.995416816324,True,0,True,True,True,93.3230840601027,59.90595789626241,84.91658279672265,75.51908306777477,75.39779227226973,80.10529167950153,100000,0,24,7116,28,3512,0,
cluster,row_two_phase,default,1,3,116478889951952896,True,False,0,467.6505411043763,True,0,True,True,True,113.3552910760045,86.81862521916628,81.30904193967581,98.19420799612999,97.79958380386233,87.58954098448157,100000,0,24,9008,39,4892,0,
cluster,row_two_phase,default,1,4,116478890080993280,True,False,0,514.6843339316547,True,0,True,True,True,89.1100000590086,95.13504197821021,173.64312522113323,82.353875041008,82.20404200255871,74.02354199439287,100000,0,24,9638,39,4892,0,
cluster,row_two_phase,default,1,5,116478890213113856,True,False,0,491.99241679161787,True,0,True,True,True,80.12524992227554,64.49900008738041,71.39575015753508,122.89508385583758,122.79316689819098,152.83470787107944,100000,0,24,8708,25,3140,0,
cluster,row_two_phase,default,1,6,116478890343792640,True,False,0,526.698290836066,True,0,True,True,True,90.18679102882743,202.8129999525845,79.85141687095165,69.7711668908596,69.6399169974029,83.60770903527737,100000,0,24,9998,31,3892,0,
cluster,row_two_phase,default,1,7,116478890476699648,True,False,0,423.62699983641505,True,0,True,True,True,90.22158291190863,101.6140840947628,79.11583315581083,70.25570934638381,70.13291586190462,82.06145884469151,100000,0,24,10684,32,4019,0,
cluster,row_two_phase,default,1,8,116478890602921984,True,False,0,414.79279194027185,True,0,True,True,True,82.46645797044039,85.83833323791623,70.12162497267127,74.86145896837115,74.713250156492,101.28524992614985,100000,0,24,10640,26,3265,0,
cluster,row_two_phase,default,1,9,116478890728554496,True,False,0,514.4255827181041,True,0,True,True,True,161.17791691794991,69.50929202139378,74.55716701224446,64.38675010576844,64.24137530848384,144.2381669767201,100000,0,24,13986,50,6276,0,
cluster,row_two_phase,default,1,10,116478890860740608,True,False,0,527.0142089575529,True,0,True,True,True,100.56729195639491,86.63829183205962,74.77054232731462,185.55004196241498,185.41658390313387,79.22174967825413,100000,0,24,12455,31,3893,0,
cluster,row_two_phase,default,1,11,116478890993647616,True,False,0,429.92212483659387,True,0,True,True,True,78.03270919248462,90.4322499409318,73.45683313906193,63.95754171535373,63.8414160348475,123.76745790243149,100000,0,24,12393,25,3139,0,
cluster,row_two_phase,default,1,12,116478891120132096,True,False,0,401.8815839663148,True,0,True,True,True,99.5792499743402,59.01720793917775,79.82950005680323,81.76495786756277,81.62958407774568,81.2503332272172,100000,0,24,13871,33,4147,0,
cluster,row_two_phase,default,1,13,116478891244912640,True,False,0,391.2965841591358,True,0,True,True,True,87.719916831702,83.35245912894607,71.76766684278846,71.94937486201525,71.84170838445425,76.2727502733469,100000,0,24,13971,28,3517,0,
cluster,row_two_phase,default,1,14,116478891368972288,True,False,0,543.0597919039428,True,0,True,True,True,156.31783287972212,137.3247499577701,79.10649990662932,86.8883328512311,86.73362527042627,83.01570918411016,100000,0,24,17875,57,7161,0,
cluster,row_two_phase,default,1,15,116478891502993408,True,False,0,561.8357500061393,True,0,True,True,True,95.16345895826817,146.71154180541635,156.24545887112617,83.90783378854394,83.77083390951157,79.40849987789989,100000,0,24,16642,41,5142,0,
