experiment,config,param_value,rep,metric,value
cluster,row_speculative,default,1,snapshot_count,15
cluster,row_speculative,default,1,snapshot_committed,15
cluster,row_speculative,default,1,snapshot_skipped,0
cluster,row_speculative,default,1,snapshot_success_rate,1.0
cluster,row_speculative,default,1,avg_retry_rate,0.0
cluster,row_speculative,default,1,avg_latency_ms,463.70490845292807
cluster,row_speculative,default,1,p50_latency_ms,467.59537467733026
cluster,row_speculative,default,1,p99_latency_ms,553.1783327460289
cluster,row_speculative,default,1,max_latency_ms,553.1783327460289
cluster,row_speculative,default,1,avg_throughput_writes_sec,295.1279774304328
cluster,row_speculative,default,1,avg_coordinator_cpu_pct,-1.0
cluster,row_speculative,default,1,avg_delta_blocks_at_discard,0.0
cluster,row_speculative,default,1,max_delta_blocks_at_discard,0.0
cluster,row_speculative,default,1,causal_consistency_rate,1.0
cluster,row_speculative,default,1,causal_checked_count,15.0
cluster,row_speculative,default,1,avg_causal_violation_count,0.0
cluster,row_speculative,default,1,conservation_validity_rate,1.0
cluster,row_speculative,default,1,conservation_checked_count,15.0
cluster,row_speculative,default,1,recovery_rate,1.0
cluster,row_speculative,default,1,recovery_checked_count,15.0
cluster,row_speculative,default,1,recovery_conservation_rate,1.0
cluster,row_speculative,default,1,avg_convergence_ms,95.05201118687789
cluster,row_speculative,default,1,avg_balance_sum,100000.0
cluster,row_speculative,default,1,avg_in_transit,0.0
cluster,row_speculative,default,1,avg_messages_per_snapshot,24.0
cluster,row_speculative,default,1,total_control_messages,360
cluster,row_speculative,default,1,avg_control_bytes_per_snapshot,14804.666666666666
cluster,row_speculative,default,1,total_control_bytes,222070
cluster,row_speculative,default,1,avg_drain_ms,100.61581671858828
cluster,row_speculative,default,1,avg_finalize_ms,84.80207780376077
cluster,row_speculative,default,1,avg_validation_ms,82.64691379542153
cluster,row_speculative,default,1,avg_commit_ms,82.44868321344256
cluster,row_speculative,default,1,avg_recovery_ms,100.15636406218012
cluster,row_speculative,default,1,avg_write_log_entries,57.333333333333336
cluster,row_speculative,default,1,avg_write_log_bytes,7199.533333333334
cluster,row_speculative,default,1,avg_dependency_tags_checked,0.0
cluster,row_speculative,default,1,max_pending_transfers,3
cluster,row_speculative,default,1,max_write_latency_ms,292.70350001752377
cluster,row_speculative,default,1,total_paused_retries,481.0
cluster,row_speculative,default,1,total_paused_wait_s,2.405000000000001
cluster,row_speculative,default,1,total_local_writes,7187.0
cluster,row_speculative,default,1,total_cross_transfers,853.0
cluster,row_speculative,default,1,total_cross_transfers_completed,851.0
cluster,row_speculative,default,1,total_pending_retries,0.0
cluster,row_speculative,default,1,avg_write_latency_ms,6.247639555485719
