experiment,config,param_value,rep,snapshot_id,logical_ts,success,skipped,retries,duration_ms,causal_consistent,causal_violation_count,conservation_holds,recovery_verified,recovery_conservation_holds,convergence_ms,drain_ms,finalize_ms,validation_ms,commit_ms,recovery_ms,balance_sum,in_transit_total,message_count,control_bytes,write_log_entries,write_log_bytes,dependency_tags_checked,delta_blocks
cluster,row_speculative,default,1,1,116478902059794432,True,False,0,399.2905421182513,True,0,True,True,True,88.55204191058874,79.60350019857287,60.62454171478748,70.48812508583069,70.31954126432538,99.60600035265088,100000,0,24,9773,57,7157,0,
cluster,row_speculative,default,1,2,116478902184443904,True,False,0,496.7597918584943,True,0,True,True,True,86.85324992984533,131.2838331796229,81.21508406475186,90.6067923642695,90.47579113394022,106.49291705340147,100000,0,24,10073,53,6654,0,
cluster,row_speculative,default,1,3,116478902315319296,True,False,0,469.3556251004338,True,0,True,True,True,152.5952499359846,87.1499590575695,69.87987505272031,74.2585826665163,74.03354067355394,85.12633386999369,100000,0,24,14185,83,10412,0,
cluster,row_speculative,default,1,4,116478902444490752,True,False,0,499.4083750061691,True,0,True,True,True,87.14237483218312,100.01024976372719,81.58041723072529,149.32949980720878,149.11074982956052,81.00220886990428,100000,0,24,10904,47,5901,0,
cluster,row_speculative,default,1,5,116478902575628288,True,False,0,412.68566669896245,True,0,True,True,True,97.14812505990267,72.8009999729693,75.69837477058172,82.79987471178174,82.62379188090563,83.89820763841271,100000,0,24,12635,56,7034,0,
cluster,row_speculative,default,1,6,116478902701064192,True,False,0,413.0729171447456,True,0,True,True,True,89.30316707119346,65.75729185715318,78.17387487739325,86.69274998828769,86.54337516054511,92.2223748639226,100000,0,24,12707,51,6401,0,
cluster,row_speculative,default,1,7,116478902826565632,True,False,0,462.50791708007455,True,0,True,True,True,86.19962492957711,67.73516675457358,79.43729218095541,76.72512484714389,76.56474970281124,152.06474997103214,100000,0,24,13389,51,6408,0,
cluster,row_speculative,default,1,8,116478902955212800,True,False,0,496.09125033020973,True,0,True,True,True,95.72712471708655,145.03758400678635,78.31266708672047,80.65079199150205,79.99820774421096,96.06233332306147,100000,0,24,14857,58,7288,0,
cluster,row_speculative,default,1,9,116478903086153728,True,False,0,547.7792923338711,True,0,True,True,True,84.55383405089378,152.8523750603199,143.32479191944003,82.21895806491375,82.04708434641361,84.50691727921367,100000,0,24,16040,62,7791,0,
cluster,row_speculative,default,1,10,116478903220502528,True,False,0,553.1783327460289,True,0,True,True,True,88.2636671885848,155.16920760273933,64.67399979010224,70.83770772442222,70.68091724067926,173.7614586018026,100000,0,24,15530,51,6403,0,
cluster,row_speculative,default,1,11,116478903355179008,True,False,0,467.59537467733026,True,0,True,True,True,87.91875001043081,139.74849972873926,65.79308304935694,72.89233291521668,72.76108302175999,100.20745871588588,100000,0,24,16697,55,6906,0,
cluster,row_speculative,default,1,12,116478903484153856,True,False,0,411.4966248162091,True,0,True,True,True,101.04112513363361,75.69262525066733,79.95162485167384,67.62349978089333,67.44220806285739,86.83695923537016,100000,0,24,17376,55,6909,0,
cluster,row_speculative,default,1,13,116478903609458688,True,False,0,432.82945873215795,True,0,True,True,True,91.69766679406166,94.01470795273781,78.74487480148673,88.3509167470038,88.21604074910283,79.67370841652155,100000,0,24,18008,55,6907,0,
cluster,row_speculative,default,1,14,116478903736270848,True,False,0,497.74941708892584,True,0,True,True,True,107.11020790040493,75.93800034373999,161.1395408399403,73.45445826649666,73.28312518075109,79.8583747819066,100000,0,24,21619,81,10178,0,
cluster,row_speculative,default,1,15,116478903867342848,True,False,0,395.773041062057,True,0,True,True,True,81.67395833879709,66.44325004890561,73.48112482577562,72.77429196983576,72.63004221022129,101.02545795962214,100000,0,24,18277,45,5644,0,
