experiment,config,param_value,rep,metric,value
exp1,row_speculative,default,1,snapshot_count,62
exp1,row_speculative,default,1,snapshot_committed,62
exp1,row_speculative,default,1,snapshot_skipped,0
exp1,row_speculative,default,1,snapshot_success_rate,1.0
exp1,row_speculative,default,1,avg_retry_rate,0.25806451612903225
exp1,row_speculative,default,1,avg_latency_ms,23.184707661288844
exp1,row_speculative,default,1,p50_latency_ms,22.708541999975296
exp1,row_speculative,default,1,p99_latency_ms,37.461750000034044
exp1,row_speculative,default,1,max_latency_ms,37.461750000034044
exp1,row_speculative,default,1,avg_throughput_writes_sec,156.75
exp1,row_speculative,default,1,avg_coordinator_cpu_pct,-1.0
exp1,row_speculative,default,1,avg_delta_blocks_at_discard,0.5416666666666666
exp1,row_speculative,default,1,max_delta_blocks_at_discard,1
exp1,row_speculative,default,1,causal_consistency_rate,1.0
exp1,row_speculative,default,1,causal_checked_count,62.0
exp1,row_speculative,default,1,avg_causal_violation_count,0.0
exp1,row_speculative,default,1,conservation_validity_rate,1.0
exp1,row_speculative,default,1,conservation_checked_count,62.0
exp1,row_speculative,default,1,recovery_rate,1.0
exp1,row_speculative,default,1,recovery_checked_count,62.0
exp1,row_speculative,default,1,recovery_conservation_rate,1.0
