experiment,config,param_value,rep,metric,value
exp1,row_two_phase,default,1,snapshot_count,14
exp1,row_two_phase,default,1,snapshot_committed,10
exp1,row_two_phase,default,1,snapshot_skipped,0
exp1,row_two_phase,default,1,snapshot_success_rate,0.7142857142857143
exp1,row_two_phase,default,1,avg_retry_rate,0.0
exp1,row_two_phase,default,1,avg_latency_ms,19.06414592858141
exp1,row_two_phase,default,1,p50_latency_ms,23.74374999999418
exp1,row_two_phase,default,1,p99_latency_ms,32.48233400006484
exp1,row_two_phase,default,1,max_latency_ms,32.48233400006484
exp1,row_two_phase,default,1,avg_throughput_writes_sec,153.04761904761904
exp1,row_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
exp1,row_two_phase,default,1,avg_delta_blocks_at_discard,0.0
exp1,row_two_phase,default,1,max_delta_blocks_at_discard,0.0
exp1,row_two_phase,default,1,causal_consistency_rate,0.7142857142857143
exp1,row_two_phase,default,1,causal_checked_count,14.0
exp1,row_two_phase,default,1,avg_causal_violation_count,0.2857142857142857
exp1,row_two_phase,default,1,conservation_validity_rate,1.0
exp1,row_two_phase,default,1,conservation_checked_count,10.0
exp1,row_two_phase,default,1,recovery_rate,1.0
exp1,row_two_phase,default,1,recovery_checked_count,10.0
exp1,row_two_phase,default,1,recovery_conservation_rate,1.0
