experiment,config,param_value,rep,metric,value
exp5,row_speculative,default,1,snapshot_count,13
exp5,row_speculative,default,1,snapshot_committed,13
exp5,row_speculative,default,1,snapshot_skipped,0
exp5,row_speculative,default,1,snapshot_success_rate,1.0
exp5,row_speculative,default,1,avg_retry_rate,0.8461538461538461
exp5,row_speculative,default,1,avg_latency_ms,161.05403215384774
exp5,row_speculative,default,1,p50_latency_ms,136.94775000010395
exp5,row_speculative,default,1,p99_latency_ms,254.24633400007224
exp5,row_speculative,default,1,max_latency_ms,254.24633400007224
exp5,row_speculative,default,1,avg_throughput_writes_sec,77.57142857142857
exp5,row_speculative,default,1,avg_coordinator_cpu_pct,-1.0
exp5,row_speculative,default,1,avg_delta_blocks_at_discard,0.696969696969697
exp5,row_speculative,default,1,max_delta_blocks_at_discard,2
exp5,row_speculative,default,1,causal_consistency_rate,1.0
exp5,row_speculative,default,1,causal_checked_count,13.0
exp5,row_speculative,default,1,avg_causal_violation_count,0.0
exp5,row_speculative,default,1,conservation_validity_rate,1.0
exp5,row_speculative,default,1,conservation_checked_count,13.0
exp5,row_speculative,default,1,recovery_rate,1.0
exp5,row_speculative,default,1,recovery_checked_count,13.0
exp5,row_speculative,default,1,recovery_conservation_rate,1.0
