experiment,config,param_value,rep,metric,value
exp5,row_two_phase,default,1,snapshot_count,13
exp5,row_two_phase,default,1,snapshot_committed,8
exp5,row_two_phase,default,1,snapshot_skipped,0
exp5,row_two_phase,default,1,snapshot_success_rate,0.6153846153846154
exp5,row_two_phase,default,1,avg_retry_rate,0.0
exp5,row_two_phase,default,1,avg_latency_ms,94.93022776922982
exp5,row_two_phase,default,1,p50_latency_ms,117.09770899994965
exp5,row_two_phase,default,1,p99_latency_ms,140.20387499999742
exp5,row_two_phase,default,1,max_latency_ms,140.20387499999742
exp5,row_two_phase,default,1,avg_throughput_writes_sec,76.9
exp5,row_two_phase,default,1,avg_coordinator_cpu_pct,-1.0
exp5,row_two_phase,default,1,avg_delta_blocks_at_discard,0.0
exp5,row_two_phase,default,1,max_delta_blocks_at_discard,0.0
exp5,row_two_phase,default,1,causal_consistency_rate,0.6153846153846154
exp5,row_two_phase,default,1,causal_checked_count,13.0
exp5,row_two_phase,default,1,avg_causal_violation_count,0.38461538461538464
exp5,row_two_phase,default,1,conservation_validity_rate,1.0
exp5,row_two_phase,default,1,conservation_checked_count,8.0
exp5,row_two_phase,default,1,recovery_rate,1.0
exp5,row_two_phase,default,1,recovery_checked_count,8.0
exp5,row_two_phase,default,1,recovery_conservation_rate,1.0
